pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_1,19.1,NA,NA,TP3_SF1,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,57.8,1.01785660163679,TRUE,No correction,Previous night zero flow,1.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_10,NaN,NA,NA,TP3_SF10,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,NaN,NaN,TRUE,No correction,Previous night zero flow,10.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_11,NaN,NA,NA,TP3_SF12,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,NaN,NaN,TRUE,No correction,Previous night zero flow,12.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_12,18.8,NA,NA,TP3_SF13,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,55.8,0.99755197840744,TRUE,No correction,Previous night zero flow,13.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_13,18.2,NA,NA,TP3_SF14,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,52,0.95532196580479,TRUE,No correction,Previous night zero flow,14.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_14,20.7,NA,NA,TP3_SF15,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,69.1,1.12416325932734,TRUE,No correction,Previous night zero flow,15.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_15,21.24,NA,NA,TP3_SF16,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,73.1,1.16414218439031,TRUE,No correction,Previous night zero flow,16.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_16,16.5,NA,NA,TP3_SF17,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,41.7,0.8485723395935,TRUE,No correction,Previous night zero flow,17.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_2,21.6,NA,NA,TP3_SF2,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,76,1.18557381078971,TRUE,No correction,Previous night zero flow,2.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
39,No azimuthal correction,5,CAN_TUR_P74_Pst_Js_3,22.2,NA,NA,TP3_SF3,"Corrected, measured radial variation","Forest was planted in 1974 – we've stated the age as of 2013, which represents the mean age over the course of measurements (2009—2016)",cm3 cm-2 h-1,80.8,1.22587633568958,TRUE,No correction,Previous night zero flow,3.3,30,Dynamax,HD,10,codominant,Pinus strobus,NA,CAN_TUR_P74,cm3 m-2 s-1
