pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_1,20.72,12,NA,Z1,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,260.3580973385647,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_10,20.02,11.3,NA,Z10,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,243.50495841988587,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_11,25.4,12.7,NA,Z11,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,387.06970263644195,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_12,30.78,11.2,NA,Z12,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,562.6698102247236,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_13,25.9,13.7,NA,Z13,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,402.04463065499385,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_14,25.62,12.2,NA,Z14,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,393.6246058971537,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_15,23.18,11.2,NA,Z15,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,323.92602366606377,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_16,25.8,12,NA,Z16,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,399.0275276062644,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_2,22.46,12.7,NA,Z2,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,304.6225398202734,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
37,No azimuthal correction,NA,CHN_HOR_AFF_Psy_Js_3,24,12.7,NA,Z3,No radial correction,Mongolian Scots pine (Pinus sylvestris var. mongolica),cm3 cm-2 h-1,346.61255979676264,NA,FALSE,No correction,Long time-window zero flow,1.3,30,Dynamax,HD,10,dominant,Pinus sylvestris,NA,CHN_HOR_AFF,cm3 cm-2 h-1
