TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST1_Peu_Js_1,CHN_YIN_ST1_Peu_Js_2,CHN_YIN_ST1_Peu_Js_3,CHN_YIN_ST1_Peu_Js_4,CHN_YIN_ST1_Peu_Js_5
2012-05-25T16:00:00Z,2012-05-25T21:45:19Z,,,,,
2012-05-25T16:10:00Z,2012-05-25T21:55:19Z,,,,,
2012-05-25T16:20:00Z,2012-05-25T22:05:19Z,,,,,
2012-05-25T16:30:00Z,2012-05-25T22:15:19Z,,,,,
2012-05-25T16:40:00Z,2012-05-25T22:25:19Z,,,,,
2012-05-25T16:49:59Z,2012-05-25T22:35:18Z,,,,,
2012-05-25T16:59:59Z,2012-05-25T22:45:18Z,,,,,
2012-05-25T17:09:59Z,2012-05-25T22:55:18Z,,,,,
2012-05-25T17:20:00Z,2012-05-25T23:05:19Z,,,,,
2012-05-25T17:30:00Z,2012-05-25T23:15:19Z,,,,,
2012-05-25T17:40:00Z,2012-05-25T23:25:19Z,,,,,
2012-05-25T17:50:00Z,2012-05-25T23:35:19Z,,,,,
2012-05-25T18:00:00Z,2012-05-25T23:45:19Z,,,,,
2012-05-25T18:10:00Z,2012-05-25T23:55:19Z,,,,,
2012-05-25T18:19:59Z,2012-05-26T00:05:10Z,,,,,
2012-05-25T18:29:59Z,2012-05-26T00:15:10Z,,,,,
2012-05-25T18:39:59Z,2012-05-26T00:25:10Z,,,,,
2012-05-25T18:50:00Z,2012-05-26T00:35:11Z,,,,,
2012-05-25T19:00:00Z,2012-05-26T00:45:11Z,,,,,
2012-05-25T19:10:00Z,2012-05-26T00:55:11Z,,,,,
2012-05-25T19:20:00Z,2012-05-26T01:05:11Z,,,,,
2012-05-25T19:30:00Z,2012-05-26T01:15:11Z,,,,,
2012-05-25T19:40:00Z,2012-05-26T01:25:11Z,,,,,
2012-05-25T19:49:59Z,2012-05-26T01:35:10Z,,,,,
2012-05-25T19:59:59Z,2012-05-26T01:45:10Z,,,,,
2012-05-25T20:09:59Z,2012-05-26T01:55:10Z,,,,,
2012-05-25T20:20:00Z,2012-05-26T02:05:11Z,,,,,
2012-05-25T20:30:00Z,2012-05-26T02:15:11Z,,,,,
2012-05-25T20:40:00Z,2012-05-26T02:25:11Z,,,,,
2012-05-25T20:50:00Z,2012-05-26T02:35:11Z,,,,,
2012-05-25T21:00:00Z,2012-05-26T02:45:11Z,,,,,
2012-05-25T21:10:00Z,2012-05-26T02:55:11Z,,,,,
2012-05-25T21:19:59Z,2012-05-26T03:05:10Z,,,,,
2012-05-25T21:29:59Z,2012-05-26T03:15:10Z,,,,,
2012-05-25T21:39:59Z,2012-05-26T03:25:10Z,,,,,
2012-05-25T21:50:00Z,2012-05-26T03:35:11Z,,,,,
2012-05-25T22:00:00Z,2012-05-26T03:45:11Z,,,,,
2012-05-25T22:10:00Z,2012-05-26T03:55:11Z,,,,,
2012-05-25T22:20:00Z,2012-05-26T04:05:11Z,,,,,
2012-05-25T22:30:00Z,2012-05-26T04:15:11Z,,,,,
2012-05-25T22:40:00Z,2012-05-26T04:25:11Z,,,,,
2012-05-25T22:49:59Z,2012-05-26T04:35:10Z,,,,,
2012-05-25T22:59:59Z,2012-05-26T04:45:10Z,,,,,
2012-05-25T23:09:59Z,2012-05-26T04:55:10Z,,,,,
2012-05-25T23:20:00Z,2012-05-26T05:05:11Z,,,,,
2012-05-25T23:30:00Z,2012-05-26T05:15:11Z,,,,,
2012-05-25T23:40:00Z,2012-05-26T05:25:11Z,,,,,
2012-05-25T23:50:00Z,2012-05-26T05:35:11Z,,,,,
2012-05-26T00:00:00Z,2012-05-26T05:45:11Z,,,,,
2012-05-26T00:10:00Z,2012-05-26T05:55:11Z,,,,,
2012-05-26T00:19:59Z,2012-05-26T06:05:10Z,,,,,
2012-05-26T00:29:59Z,2012-05-26T06:15:10Z,,,,,
2012-05-26T00:39:59Z,2012-05-26T06:25:10Z,,,,,
2012-05-26T00:50:00Z,2012-05-26T06:35:11Z,,,,,
2012-05-26T01:00:00Z,2012-05-26T06:45:11Z,,,,,
2012-05-26T01:10:00Z,2012-05-26T06:55:11Z,,,,,
2012-05-26T01:20:00Z,2012-05-26T07:05:11Z,,,,,
2012-05-26T01:30:00Z,2012-05-26T07:15:11Z,,,,,
2012-05-26T01:40:00Z,2012-05-26T07:25:11Z,,,,,
2012-05-26T01:49:59Z,2012-05-26T07:35:10Z,,,,,
2012-05-26T01:59:59Z,2012-05-26T07:45:10Z,,,,,
2012-05-26T02:09:59Z,2012-05-26T07:55:10Z,,,,,
2012-05-26T02:20:00Z,2012-05-26T08:05:11Z,,,,,
2012-05-26T02:30:00Z,2012-05-26T08:15:11Z,,,,,
2012-05-26T02:40:00Z,2012-05-26T08:25:11Z,,,,,
2012-05-26T02:50:00Z,2012-05-26T08:35:11Z,,,,,
2012-05-26T03:00:00Z,2012-05-26T08:45:11Z,,,,,
2012-05-26T03:10:00Z,2012-05-26T08:55:11Z,,,,,
2012-05-26T03:19:59Z,2012-05-26T09:05:10Z,,,,,
2012-05-26T03:29:59Z,2012-05-26T09:15:10Z,,,,,
2012-05-26T03:39:59Z,2012-05-26T09:25:10Z,,,,,
2012-05-26T03:50:00Z,2012-05-26T09:35:11Z,,,,,
2012-05-26T04:00:00Z,2012-05-26T09:45:11Z,,,,,
2012-05-26T04:10:00Z,2012-05-26T09:55:11Z,,,,,
2012-05-26T04:20:00Z,2012-05-26T10:05:11Z,,,,,
2012-05-26T04:30:00Z,2012-05-26T10:15:11Z,,,,,
2012-05-26T04:40:00Z,2012-05-26T10:25:11Z,,,,,
2012-05-26T04:49:59Z,2012-05-26T10:35:10Z,,,,,
2012-05-26T04:59:59Z,2012-05-26T10:45:10Z,,,,,
2012-05-26T05:09:59Z,2012-05-26T10:55:10Z,,,,,
2012-05-26T05:20:00Z,2012-05-26T11:05:11Z,,,,,
