TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST3_DRO_Peu_Js_1,CHN_YIN_ST3_DRO_Peu_Js_2,CHN_YIN_ST3_DRO_Peu_Js_3
2012-05-25T16:00:00Z,2012-05-25T21:46:24Z,,,
2012-05-25T16:10:00Z,2012-05-25T21:56:24Z,,,
2012-05-25T16:20:00Z,2012-05-25T22:06:24Z,,,
2012-05-25T16:30:00Z,2012-05-25T22:16:24Z,,,
2012-05-25T16:40:00Z,2012-05-25T22:26:24Z,,,
2012-05-25T16:49:59Z,2012-05-25T22:36:23Z,,,
2012-05-25T16:59:59Z,2012-05-25T22:46:23Z,,,
2012-05-25T17:09:59Z,2012-05-25T22:56:23Z,,,
2012-05-25T17:20:00Z,2012-05-25T23:06:24Z,,,
2012-05-25T17:30:00Z,2012-05-25T23:16:24Z,,,
2012-05-25T17:40:00Z,2012-05-25T23:26:24Z,,,
2012-05-25T17:50:00Z,2012-05-25T23:36:24Z,,,
2012-05-25T18:00:00Z,2012-05-25T23:46:24Z,,,
2012-05-25T18:10:00Z,2012-05-25T23:56:24Z,,,
2012-05-25T18:19:59Z,2012-05-26T00:06:16Z,,,
2012-05-25T18:29:59Z,2012-05-26T00:16:16Z,,,
2012-05-25T18:39:59Z,2012-05-26T00:26:16Z,,,
2012-05-25T18:50:00Z,2012-05-26T00:36:17Z,,,
2012-05-25T19:00:00Z,2012-05-26T00:46:17Z,,,
2012-05-25T19:10:00Z,2012-05-26T00:56:17Z,,,
2012-05-25T19:20:00Z,2012-05-26T01:06:17Z,,,
2012-05-25T19:30:00Z,2012-05-26T01:16:17Z,,,
2012-05-25T19:40:00Z,2012-05-26T01:26:17Z,,,
2012-05-25T19:49:59Z,2012-05-26T01:36:16Z,,,
2012-05-25T19:59:59Z,2012-05-26T01:46:16Z,,,
2012-05-25T20:09:59Z,2012-05-26T01:56:16Z,,,
2012-05-25T20:20:00Z,2012-05-26T02:06:17Z,,,
2012-05-25T20:30:00Z,2012-05-26T02:16:17Z,,,
2012-05-25T20:40:00Z,2012-05-26T02:26:17Z,,,
2012-05-25T20:50:00Z,2012-05-26T02:36:17Z,,,
