pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,DEU_HIN_TER_Psy_Js_1,59,23,NA,pdo1,No radial correction,Gauß-Modell used for correction,cm3 cm-2 h-1,1221.9310894322,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Pinus sylvestris,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Fsy_Js_10,47,31,NA,bdo2,No radial correction,Weibull-Modell used for correction,cm3 cm-2 h-1,931.475533989238,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Fagus sylvatica,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Fsy_Js_11,64,24,NA,bdo3,No radial correction,Weibull-Modell used for correction,cm3 cm-2 h-1,1290.06322977351,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Fagus sylvatica,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Fsy_Js_12,50,27,NA,bdo4,No radial correction,Weibull-Modell used for correction,cm3 cm-2 h-1,789.029674048385,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Fagus sylvatica,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Fsy_Js_13,40,19,NA,bup1,No radial correction,Weibull-Modell used for correction,cm3 cm-2 h-1,503.446267024359,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Fagus sylvatica,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Fsy_Js_14,40,18,NA,bup2,No radial correction,Weibull-Modell used for correction,cm3 cm-2 h-1,527.193668283635,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Fagus sylvatica,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Fsy_Js_15,33,21,NA,bup3,No radial correction,Weibull-Modell used for correction,cm3 cm-2 h-1,361.305754942853,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Fagus sylvatica,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Fsy_Js_16,35,22,NA,bup4,No radial correction,Weibull-Modell used for correction,cm3 cm-2 h-1,406.833281882002,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Fagus sylvatica,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Psy_Js_2,49,32,NA,pdo2,No radial correction,Gauß-Modell used for correction,cm3 cm-2 h-1,756.088238996567,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Pinus sylvestris,NA,DEU_HIN_TER,cm3 cm-2 h-1
NA,No azimuthal correction,NA,DEU_HIN_TER_Psy_Js_3,50,22,NA,pdo3,No radial correction,Gauß-Modell used for correction,cm3 cm-2 h-1,784.216709523258,NA,FALSE,No correction,Long time-window zero flow,1.5,NA,Ecomatik,HD,60,codominant,Pinus sylvestris,NA,DEU_HIN_TER,cm3 cm-2 h-1
