pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_1,58.4,32.6,NA,Fs48,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,1667.6880707798514,11.520000000000001,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_10,43.9,29.4,NA,Fs75,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,933.7366286775899,8.620000000000001,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_2,32.5,27.6,NA,Fs50,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,505.11280666653556,6.34,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_3,39.3,31,NA,Fs57,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,745.0601137253553,7.7,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_4,35.5,29.1,NA,Fs52,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,605.2416477217496,6.940000000000001,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_5,55.2,31.4,NA,Fs55,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,1487.5365816523988,10.880000000000003,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_6,24.1,24.3,NA,Fs54,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,272.886277713178,4.66,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,suppressed,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_7,52.1,32,NA,Fs63,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,1322.831675284116,10.260000000000002,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_8,48.6,32.1,NA,Fs56,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,1148.4858493804968,9.56,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
114,No azimuthal correction,4,DEU_STE_2P3_Fsy_Jt_9,45,31.6,NA,Fs65,Measured,sapwood area calculated assuming 40% of xylem radius (10.1051/forest:2007020),cm3 cm-2 h-1,982.0065714814665,8.840000000000002,FALSE,No correction,Long time-window zero flow,1.8,22,Lab made,HD,60,codominant,Fagus sylvatica,NA,DEU_STE_2P3,kg h-1
