pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_1,20.1,9.3,NA,P1,No radial correction,NA,cm3 cm-2 h-1,317.3,10.05,NA,No correction,Previous night zero flow,1.3,20,Lab made,HD,30,codominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_10,52.5,16.3,NA,P10,No radial correction,NA,cm3 cm-2 h-1,2167.4,26.1,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,dominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Tba_Js_11,13.2,7.2,NA,T11,No radial correction,NA,cm3 cm-2 h-1,136.8,6.6,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,codominant,Taxus baccata,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Tba_Js_12,8.1,5.4,NA,T12,No radial correction,NA,cm3 cm-2 h-1,51.5,4,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,codominant,Taxus baccata,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_2,34.4,12.3,NA,P2,No radial correction,NA,cm3 cm-2 h-1,924.4,17.2,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,dominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_3,43.4,14.2,NA,P3,No radial correction,NA,cm3 cm-2 h-1,1479.3,21.7,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,dominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_4,29,11.5,NA,P4,No radial correction,NA,cm3 cm-2 h-1,660.5,14.5,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,codominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_5,34.3,12.3,NA,P5,No radial correction,NA,cm3 cm-2 h-1,924,17,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,dominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_6,11.4,7.1,NA,P6,No radial correction,NA,cm3 cm-2 h-1,102.1,5.4,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,codominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_7,42.8,14.1,NA,P7,No radial correction,NA,cm3 cm-2 h-1,1438.2,21.4,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,dominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_8,24.8,10.4,NA,P8,No radial correction,NA,cm3 cm-2 h-1,483,12.4,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,dominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
NA,No azimuthal correction,NA,ESP_RON_PIL_Api_Js_9,61.4,18.1,NA,P9,No radial correction,NA,cm3 cm-2 h-1,2960.9,30.7,NA,NA,Previous night zero flow,1.3,20,Lab made,HD,30,dominant,Abies pinsapo,NA,ESP_RON_PIL,dm3 dm-2 h-1
