TIMESTAMP,solar_TIMESTAMP,FIN_HYY_SME_Psy_Jt_1,FIN_HYY_SME_Psy_Jt_2,FIN_HYY_SME_Psy_Jt_3,FIN_HYY_SME_Bpe_Jt_4
2012-12-31T23:30:00Z,2013-01-01T01:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T00:30:00Z,2013-01-01T02:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T01:30:00Z,2013-01-01T03:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T02:30:00Z,2013-01-01T04:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T03:30:00Z,2013-01-01T05:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T04:30:00Z,2013-01-01T06:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T05:30:00Z,2013-01-01T07:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T06:30:00Z,2013-01-01T08:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T07:30:00Z,2013-01-01T09:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T08:30:00Z,2013-01-01T10:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T09:30:00Z,2013-01-01T11:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T10:30:00Z,2013-01-01T12:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T11:30:00Z,2013-01-01T13:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T12:30:00Z,2013-01-01T14:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T13:30:00Z,2013-01-01T15:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T14:30:00Z,2013-01-01T16:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T15:30:00Z,2013-01-01T17:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T16:30:00Z,2013-01-01T18:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T17:30:00Z,2013-01-01T19:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T18:30:00Z,2013-01-01T20:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T19:30:00Z,2013-01-01T21:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T20:30:00Z,2013-01-01T22:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2013-01-01T21:30:00Z,2013-01-01T23:02:36Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
