TIMESTAMP,solar_TIMESTAMP,GUF_GUY_ST2_Dgu_Js_1,GUF_GUY_ST2_Dgu_Js_2,GUF_GUY_ST2_Dgu_Js_3,GUF_GUY_ST2_Dgu_Js_4,GUF_GUY_ST2_Vsp_Js_5,GUF_GUY_ST2_Oas_Js_6,GUF_GUY_ST2_Oas_Js_7,GUF_GUY_ST2_Rsp_Js_8,GUF_GUY_ST2_Ssp_Js_9,GUF_GUY_ST2_Vam_Js_10,GUF_GUY_ST2_Ggl_Js_11
2008-01-01T03:00:00Z,2007-12-31T23:24:18Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T03:30:00Z,2007-12-31T23:54:18Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T04:00:00Z,2008-01-01T00:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T04:30:00Z,2008-01-01T00:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T05:00:00Z,2008-01-01T01:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T05:30:00Z,2008-01-01T01:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T06:00:00Z,2008-01-01T02:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T06:30:00Z,2008-01-01T02:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T07:00:00Z,2008-01-01T03:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T07:30:00Z,2008-01-01T03:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T08:00:00Z,2008-01-01T04:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T08:30:00Z,2008-01-01T04:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T09:00:00Z,2008-01-01T05:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T09:30:00Z,2008-01-01T05:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T10:00:00Z,2008-01-01T06:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T10:30:00Z,2008-01-01T06:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T11:00:00Z,2008-01-01T07:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T11:30:00Z,2008-01-01T07:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T12:00:00Z,2008-01-01T08:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T12:30:00Z,2008-01-01T08:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T13:00:00Z,2008-01-01T09:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T13:30:00Z,2008-01-01T09:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T14:00:00Z,2008-01-01T10:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T14:30:00Z,2008-01-01T10:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T15:00:00Z,2008-01-01T11:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T15:30:00Z,2008-01-01T11:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T16:00:00Z,2008-01-01T12:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T16:30:00Z,2008-01-01T12:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T17:00:00Z,2008-01-01T13:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
