pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,GUF_NOU_PET_Qro_Js_1,63.6,NA,NA,H20-396,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Qualea rosea,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Lro_Js_10,53,NA,NA,H20-332,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Licania rodriguesii,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Qtr_Js_11,71.5,NA,NA,G21-189,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Qualea tricolor,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Qtr_Js_12,90.7,NA,NA,G21-307,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Qualea tricolor,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Qro_Js_13,23.2,NA,NA,G21-373,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Qualea rosea,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Dgu_Js_14,59.8,NA,NA,G21-192,No radial correction,"This species is actually brevideciduous (not drought deciduous), and this inidvidual lost its leaves once during the sampling period",cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Dicorynia guianensis,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Dgu_Js_15,76.1,NA,NA,G21-254,No radial correction,"This species is actually brevideciduous (not drought deciduous), and this inidvidual lost its leaves once during the sampling period",cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Dicorynia guianensis,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Ggl_Js_16,35.1,NA,NA,G21-303,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Goupia glabra,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Lpo_Js_17,41.4,NA,NA,G21-364,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Lecythis poiteaui,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Eco_Js_18,33.7,NA,NA,G21-312,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Eschweilera coriacea,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Eco_Js_19,28.3,NA,NA,G21-417,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Eschweilera coriacea,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Qro_Js_2,51.5,NA,NA,H20-475,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Qualea rosea,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Eco_Js_20,35.3,NA,NA,G21-422,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Eschweilera coriacea,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Lal_Js_21,39,NA,NA,G21-372,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Licania alba,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Vam_Js_22,66.2,NA,NA,G21-200,No radial correction,"This species is actually brevideciduous (not drought deciduous), and this inidvidual lost its leaves once during the sampling period",cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Vouacapoua americana,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Dgu_Js_3,46,NA,NA,H20-350,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Dicorynia guianensis,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Dgu_Js_4,62.2,NA,NA,H21-39,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Dicorynia guianensis,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Dgu_Js_5,66.1,NA,NA,H20-533,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Dicorynia guianensis,NA,GUF_NOU_PET,kg m-2 h-1
NA,No azimuthal correction,NA,GUF_NOU_PET_Lal_Js_6,41.7,NA,NA,H20-329,No radial correction,NA,cm3 cm-2 h-1,NA,NA,FALSE,No correction,Previous night zero flow,1.5,20,UP GmbH,HD,30,codominant,Licania alba,NA,GUF_NOU_PET,kg m-2 h-1
