sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
3.3,evergreen,Dicorynia guianensis,5,GUF_NOU_PET
0.4,evergreen,Sextonia rubra,1,GUF_NOU_PET
5.3,evergreen,Vouacapoua americana,1,GUF_NOU_PET
1.6,evergreen,Qualea rosea,3,GUF_NOU_PET
NA,evergreen,Qualea tricolor,2,GUF_NOU_PET
1.4,evergreen,Licania alba,3,GUF_NOU_PET
NA,evergreen,Licania rodriguesii,1,GUF_NOU_PET
0.8,evergreen,Lecythis poiteaui,2,GUF_NOU_PET
3.3,evergreen,Eschweilera coriacea,3,GUF_NOU_PET
0.3,evergreen,Goupia glabra,1,GUF_NOU_PET
