TIMESTAMP,solar_TIMESTAMP,HUN_SIK_Qce_Js_1,HUN_SIK_Qce_Js_2,HUN_SIK_Qpe_Js_3,HUN_SIK_Qpe_Js_4
2014-05-21T23:00:00Z,2014-05-22T00:24:39Z,NA,NA,NA,NA
2014-05-21T23:10:00Z,2014-05-22T00:34:39Z,NA,NA,NA,NA
2014-05-21T23:20:00Z,2014-05-22T00:44:39Z,NA,NA,NA,NA
2014-05-21T23:30:00Z,2014-05-22T00:54:39Z,NA,NA,NA,NA
2014-05-21T23:40:00Z,2014-05-22T01:04:39Z,NA,NA,NA,NA
2014-05-21T23:50:00Z,2014-05-22T01:14:39Z,NA,NA,NA,NA
2014-05-22T00:00:00Z,2014-05-22T01:24:39Z,0.11781214,0.1003037,0.25710401,NA
2014-05-22T00:10:00Z,2014-05-22T01:34:39Z,NA,NA,NA,NA
2014-05-22T00:20:00Z,2014-05-22T01:44:39Z,NA,NA,NA,NA
2014-05-22T00:30:00Z,2014-05-22T01:54:39Z,NA,NA,NA,NA
2014-05-22T00:40:00Z,2014-05-22T02:04:39Z,NA,NA,NA,NA
2014-05-22T00:50:00Z,2014-05-22T02:14:39Z,NA,NA,NA,NA
2014-05-22T01:00:00Z,2014-05-22T02:24:39Z,0.07693806,0.09371925,0.46245765,NA
2014-05-22T01:10:00Z,2014-05-22T02:34:39Z,NA,NA,NA,NA
2014-05-22T01:20:00Z,2014-05-22T02:44:39Z,NA,NA,NA,NA
2014-05-22T01:30:00Z,2014-05-22T02:54:39Z,NA,NA,NA,NA
2014-05-22T01:40:00Z,2014-05-22T03:04:39Z,NA,NA,NA,NA
2014-05-22T01:50:00Z,2014-05-22T03:14:39Z,NA,NA,NA,NA
2014-05-22T02:00:00Z,2014-05-22T03:24:39Z,0.0252195,0.04708494,0.53961013,NA
2014-05-22T02:10:00Z,2014-05-22T03:34:39Z,NA,NA,NA,NA
2014-05-22T02:20:00Z,2014-05-22T03:44:39Z,NA,NA,NA,NA
2014-05-22T02:30:00Z,2014-05-22T03:54:39Z,NA,NA,NA,NA
2014-05-22T02:40:00Z,2014-05-22T04:04:39Z,NA,NA,NA,NA
2014-05-22T02:50:00Z,2014-05-22T04:14:39Z,NA,NA,NA,NA
2014-05-22T03:00:00Z,2014-05-22T04:24:39Z,0.011016229999999998,0.03347036,0.52923431,NA
2014-05-22T03:10:00Z,2014-05-22T04:34:39Z,NA,NA,NA,NA
2014-05-22T03:20:00Z,2014-05-22T04:44:39Z,NA,NA,NA,NA
2014-05-22T03:30:00Z,2014-05-22T04:54:39Z,NA,NA,NA,NA
2014-05-22T03:40:00Z,2014-05-22T05:04:39Z,NA,NA,NA,NA
2014-05-22T03:50:00Z,2014-05-22T05:14:39Z,NA,NA,NA,NA
2014-05-22T04:00:00Z,2014-05-22T05:24:39Z,0.00241264,0.05310352,0.63920423,NA
2014-05-22T04:10:00Z,2014-05-22T05:34:39Z,NA,NA,NA,NA
2014-05-22T04:20:00Z,2014-05-22T05:44:39Z,NA,NA,NA,NA
2014-05-22T04:30:00Z,2014-05-22T05:54:39Z,NA,NA,NA,NA
2014-05-22T04:40:00Z,2014-05-22T06:04:39Z,NA,NA,NA,NA
2014-05-22T04:50:00Z,2014-05-22T06:14:39Z,NA,NA,NA,NA
2014-05-22T05:00:00Z,2014-05-22T06:24:39Z,0.75505747,0.99095928,1.19951199,NA
2014-05-22T05:10:00Z,2014-05-22T06:34:39Z,NA,NA,NA,NA
2014-05-22T05:20:00Z,2014-05-22T06:44:39Z,NA,NA,NA,NA
2014-05-22T05:30:00Z,2014-05-22T06:54:39Z,NA,NA,NA,NA
2014-05-22T05:40:00Z,2014-05-22T07:04:39Z,NA,NA,NA,NA
2014-05-22T05:50:00Z,2014-05-22T07:14:39Z,NA,NA,NA,NA
2014-05-22T06:00:00Z,2014-05-22T07:24:39Z,2.7255758200000004,2.58544551,3.1246927400000004,NA
