TIMESTAMP,TIMESTAMP_solar,IDN_JAM_RUB_Hbr_Js_1,IDN_JAM_RUB_Hbr_Js_2,IDN_JAM_RUB_Hbr_Js_3,IDN_JAM_RUB_Hbr_Js_4,IDN_JAM_RUB_Hbr_Js_5,IDN_JAM_RUB_Hbr_Js_6,IDN_JAM_RUB_Hbr_Js_7,IDN_JAM_RUB_Hbr_Js_8,IDN_JAM_RUB_Hbr_Js_9,IDN_JAM_RUB_Hbr_Js_10
2013-06-12T17:00:00Z,2013-06-12T23:50:46Z,,,,,,,,,,
2013-06-12T18:00:00Z,2013-06-13T00:50:34Z,,,,,,,,,,
2013-06-12T19:00:00Z,2013-06-13T01:50:34Z,,,,,,,,,,
2013-06-12T20:00:00Z,2013-06-13T02:50:34Z,,,,,,,,,,
2013-06-12T21:00:00Z,2013-06-13T03:50:34Z,,,,,,,,,,
2013-06-12T22:00:00Z,2013-06-13T04:50:34Z,,,,,,,,,,
2013-06-12T23:00:00Z,2013-06-13T05:50:34Z,,,,,,,,,,
2013-06-13T00:00:00Z,2013-06-13T06:50:34Z,,,,,,,,,,
2013-06-13T01:00:00Z,2013-06-13T07:50:34Z,,,,,,,,,,
2013-06-13T02:00:00Z,2013-06-13T08:50:34Z,,,,,,,,,,
2013-06-13T03:00:00Z,2013-06-13T09:50:34Z,,,,,,,,,,
2013-06-13T04:00:00Z,2013-06-13T10:50:34Z,,,,,,OUT_WARN,,,,
2013-06-13T05:00:00Z,2013-06-13T11:50:34Z,,,,,OUT_WARN,OUT_WARN,,,,
2013-06-13T06:00:00Z,2013-06-13T12:50:34Z,,,,,OUT_WARN,OUT_WARN,,,,
2013-06-13T07:00:00Z,2013-06-13T13:50:34Z,,,,,,OUT_WARN,,,,
2013-06-13T08:00:00Z,2013-06-13T14:50:34Z,,,,,,OUT_WARN,,,,
2013-06-13T09:00:00Z,2013-06-13T15:50:34Z,,,,,,OUT_WARN,,,,
2013-06-13T10:00:00Z,2013-06-13T16:50:34Z,,,,,,OUT_WARN,,,,
2013-06-13T11:00:00Z,2013-06-13T17:50:34Z,,,,,,,,,,
2013-06-13T12:00:00Z,2013-06-13T18:50:34Z,,,,,,,,,,
2013-06-13T13:00:00Z,2013-06-13T19:50:34Z,,,,,,,,,,
2013-06-13T14:00:00Z,2013-06-13T20:50:34Z,,,,,,,,,,
2013-06-13T15:00:00Z,2013-06-13T21:50:34Z,,,,,,,,,,
2013-06-13T16:00:00Z,2013-06-13T22:50:34Z,,,,,,,,,,
2013-06-13T17:00:00Z,2013-06-13T23:50:34Z,,,,,,,,,,
2013-06-13T18:00:00Z,2013-06-14T00:50:22Z,,,,,,,,,,
2013-06-13T19:00:00Z,2013-06-14T01:50:22Z,,,,,,,,,,
2013-06-13T20:00:00Z,2013-06-14T02:50:22Z,,,,,,,,,,
2013-06-13T21:00:00Z,2013-06-14T03:50:22Z,,,,,,,,,,
2013-06-13T22:00:00Z,2013-06-14T04:50:22Z,,,,,,,,,,
2013-06-13T23:00:00Z,2013-06-14T05:50:22Z,,,,,,,,,,
2013-06-14T00:00:00Z,2013-06-14T06:50:22Z,,,,,,,,,,
2013-06-14T01:00:00Z,2013-06-14T07:50:22Z,,,,,,,,,,
2013-06-14T02:00:00Z,2013-06-14T08:50:22Z,,,,,,,,,,
2013-06-14T03:00:00Z,2013-06-14T09:50:22Z,,,,,,,,,,
2013-06-14T04:00:00Z,2013-06-14T10:50:22Z,,,,,,,,,,
2013-06-14T05:00:00Z,2013-06-14T11:50:22Z,,,,,,,,,,
2013-06-14T06:00:00Z,2013-06-14T12:50:22Z,,,,,,,,,,
2013-06-14T07:00:00Z,2013-06-14T13:50:22Z,,,,,,,,,,
2013-06-14T08:00:00Z,2013-06-14T14:50:22Z,,,,,,,,,,
2013-06-14T09:00:00Z,2013-06-14T15:50:22Z,,,,,,,,,,
2013-06-14T10:00:00Z,2013-06-14T16:50:22Z,,,,,,,,,,
2013-06-14T11:00:00Z,2013-06-14T17:50:22Z,,,,,,,,,,
2013-06-14T12:00:00Z,2013-06-14T18:50:22Z,,,,,,,,,,
2013-06-14T13:00:00Z,2013-06-14T19:50:22Z,,,,,,,,,,
2013-06-14T14:00:00Z,2013-06-14T20:50:22Z,,,,,,,,,,
2013-06-14T15:00:00Z,2013-06-14T21:50:22Z,,,,,,,,,,
2013-06-14T16:00:00Z,2013-06-14T22:50:22Z,,,,,,,,,,
2013-06-14T17:00:00Z,2013-06-14T23:50:22Z,,,,,,,,,,
2013-06-14T18:00:00Z,2013-06-15T00:50:10Z,,,,,,,,,,
2013-06-14T19:00:00Z,2013-06-15T01:50:10Z,,,,,,,,,,
2013-06-14T20:00:00Z,2013-06-15T02:50:10Z,,,,,,,,,,
2013-06-14T21:00:00Z,2013-06-15T03:50:10Z,,,,,,,,,,
2013-06-14T22:00:00Z,2013-06-15T04:50:10Z,,,,,,,,,,
2013-06-14T23:00:00Z,2013-06-15T05:50:10Z,,,,,,,,,,
2013-06-15T00:00:00Z,2013-06-15T06:50:10Z,,,,,,,,,,
2013-06-15T01:00:00Z,2013-06-15T07:50:10Z,,,,,,,,,,
2013-06-15T02:00:00Z,2013-06-15T08:50:10Z,,,,,,,,,,
2013-06-15T03:00:00Z,2013-06-15T09:50:10Z,,,,,,,,,,
2013-06-15T04:00:00Z,2013-06-15T10:50:10Z,,,,,,,,,,
2013-06-15T05:00:00Z,2013-06-15T11:50:10Z,,,,,,,,,,
2013-06-15T06:00:00Z,2013-06-15T12:50:10Z,,,,,,,,,,
2013-06-15T07:00:00Z,2013-06-15T13:50:10Z,,,,,,,,,,
2013-06-15T08:00:00Z,2013-06-15T14:50:10Z,,,,,,,,,,
2013-06-15T09:00:00Z,2013-06-15T15:50:10Z,,,,,,,,,,
2013-06-15T10:00:00Z,2013-06-15T16:50:10Z,,,,,,,,,,
2013-06-15T11:00:00Z,2013-06-15T17:50:10Z,,,,,,,,,,
2013-06-15T12:00:00Z,2013-06-15T18:50:10Z,,,,,,,,,,
