TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,netrad,precip,swc_shallow,swc_deep,ext_rad
2007-12-31T16:00:00Z,2007-12-31T23:55:39Z,,,,,,,,CALCULATED
2007-12-31T16:30:00Z,2008-01-01T00:25:39Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED
2007-12-31T17:00:00Z,2008-01-01T00:55:39Z,,,,,,,,CALCULATED
2007-12-31T17:30:00Z,2008-01-01T01:25:39Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED
2007-12-31T18:00:00Z,2008-01-01T01:55:39Z,,,,,,,,CALCULATED
2007-12-31T18:30:00Z,2008-01-01T02:25:39Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED
2007-12-31T19:00:00Z,2008-01-01T02:55:39Z,,,,,,,,CALCULATED
2007-12-31T19:30:00Z,2008-01-01T03:25:39Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED
2007-12-31T20:00:00Z,2008-01-01T03:55:39Z,,,,,,,,CALCULATED
2007-12-31T20:30:00Z,2008-01-01T04:25:39Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED
2007-12-31T21:00:00Z,2008-01-01T04:55:39Z,,,,,,,,CALCULATED
2007-12-31T21:30:00Z,2008-01-01T05:25:39Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED
2007-12-31T22:00:00Z,2008-01-01T05:55:39Z,,,,,,,,CALCULATED
2007-12-31T22:30:00Z,2008-01-01T06:25:39Z,,,,OUT_WARN,,NA_PRESENT,NA_PRESENT,CALCULATED
2007-12-31T23:00:00Z,2008-01-01T06:55:39Z,,,,OUT_WARN,,,,CALCULATED
2007-12-31T23:30:00Z,2008-01-01T07:25:39Z,,,,OUT_WARN,,NA_PRESENT,NA_PRESENT,CALCULATED
2008-01-01T00:00:00Z,2008-01-01T07:55:39Z,,,,OUT_WARN,,,,CALCULATED
