pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_1,38.59,NA,NA,TCK_5_1,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_10,31.65,NA,NA,TCK_5_10,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_11,38.33,NA,NA,TCK_5_11,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_12,44.32,NA,NA,TCK_5_12,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_13,36.16,NA,NA,TCK_7_1,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_14,28.46,NA,NA,TCK_7_2,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_15,35.18,NA,NA,TCK_7_3,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_16,34.02,NA,NA,TCK_7_4,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_17,33.69,NA,NA,TCK_7_5,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
NA,"Corrected, measured azimuthal variation",NA,KOR_TAE_TC3_EXT_Pko_Js_18,30.02,NA,NA,TCK_7_6,NA,NA,cm3 cm-2 h-1,NA,NA,FALSE,NA,Long time-window zero flow,1.3,20,Lab made,HD,30,dominant,Pinus koraiensis,Thinning,KOR_TAE_TC3_EXT,g m-2 s-1
