TIMESTAMP,solar_TIMESTAMP,MEX_COR_YP_Ppa_Jt_1,MEX_COR_YP_Ppa_Jt_2,MEX_COR_YP_Ppa_Jt_3,MEX_COR_YP_Ppa_Jt_4,MEX_COR_YP_Ppa_Jt_5,MEX_COR_YP_Ppa_Jt_6,MEX_COR_YP_Ppa_Jt_7,MEX_COR_YP_Ppa_Jt_8
2008-11-17T20:00:00Z,2008-11-17T13:45:17Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,RANGE_WARN,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-17T21:00:00Z,2008-11-17T14:45:17Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-17T22:00:00Z,2008-11-17T15:45:17Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-17T23:00:00Z,2008-11-17T16:45:17Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,RANGE_WARN,,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T00:00:00Z,2008-11-17T17:45:17Z,NA_PRESENT,,NA_PRESENT,RANGE_WARN,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T01:00:00Z,2008-11-17T18:45:17Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,RANGE_WARN,,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T02:00:00Z,2008-11-17T19:45:17Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,RANGE_WARN,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T03:00:00Z,2008-11-17T20:45:17Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,RANGE_WARN,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T04:00:00Z,2008-11-17T21:45:17Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,RANGE_WARN,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T05:00:00Z,2008-11-17T22:45:17Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T06:00:00Z,2008-11-17T23:45:17Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T07:00:00Z,2008-11-18T00:45:01Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,RANGE_WARN,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T08:00:00Z,2008-11-18T01:45:01Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T09:00:00Z,2008-11-18T02:45:01Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T10:00:00Z,2008-11-18T03:45:01Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,RANGE_WARN,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T11:00:00Z,2008-11-18T04:45:01Z,NA_PRESENT,RANGE_WARN,NA_PRESENT,,RANGE_WARN,NA_PRESENT,NA_PRESENT,RANGE_WARN
2008-11-18T12:00:00Z,2008-11-18T05:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T13:00:00Z,2008-11-18T06:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T14:00:00Z,2008-11-18T07:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T15:00:00Z,2008-11-18T08:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T16:00:00Z,2008-11-18T09:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T17:00:00Z,2008-11-18T10:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T18:00:00Z,2008-11-18T11:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T19:00:00Z,2008-11-18T12:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T20:00:00Z,2008-11-18T13:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T21:00:00Z,2008-11-18T14:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T22:00:00Z,2008-11-18T15:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-18T23:00:00Z,2008-11-18T16:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T00:00:00Z,2008-11-18T17:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T01:00:00Z,2008-11-18T18:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T02:00:00Z,2008-11-18T19:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T03:00:00Z,2008-11-18T20:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T04:00:00Z,2008-11-18T21:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T05:00:00Z,2008-11-18T22:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T06:00:00Z,2008-11-18T23:45:01Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T07:00:00Z,2008-11-19T00:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T08:00:00Z,2008-11-19T01:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T09:00:00Z,2008-11-19T02:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T10:00:00Z,2008-11-19T03:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T11:00:00Z,2008-11-19T04:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T12:00:00Z,2008-11-19T05:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T13:00:00Z,2008-11-19T06:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T14:00:00Z,2008-11-19T07:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T15:00:00Z,2008-11-19T08:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T16:00:00Z,2008-11-19T09:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T17:00:00Z,2008-11-19T10:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T18:00:00Z,2008-11-19T11:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T19:00:00Z,2008-11-19T12:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T20:00:00Z,2008-11-19T13:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T21:00:00Z,2008-11-19T14:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T22:00:00Z,2008-11-19T15:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-19T23:00:00Z,2008-11-19T16:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T00:00:00Z,2008-11-19T17:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T01:00:00Z,2008-11-19T18:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T02:00:00Z,2008-11-19T19:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T03:00:00Z,2008-11-19T20:44:44Z,NA_PRESENT,,NA_PRESENT,RANGE_WARN,,NA_PRESENT,NA_PRESENT,
2008-11-20T04:00:00Z,2008-11-19T21:44:44Z,NA_PRESENT,,NA_PRESENT,RANGE_WARN,,NA_PRESENT,NA_PRESENT,
2008-11-20T05:00:00Z,2008-11-19T22:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T06:00:00Z,2008-11-19T23:44:44Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T07:00:00Z,2008-11-20T00:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T08:00:00Z,2008-11-20T01:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T09:00:00Z,2008-11-20T02:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T10:00:00Z,2008-11-20T03:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T11:00:00Z,2008-11-20T04:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T12:00:00Z,2008-11-20T05:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T13:00:00Z,2008-11-20T06:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T14:00:00Z,2008-11-20T07:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T15:00:00Z,2008-11-20T08:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T16:00:00Z,2008-11-20T09:44:26Z,NA_PRESENT,,NA_PRESENT,,OUT_WARN,NA_PRESENT,NA_PRESENT,
2008-11-20T17:00:00Z,2008-11-20T10:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T18:00:00Z,2008-11-20T11:44:26Z,NA_PRESENT,,NA_PRESENT,,,NA_PRESENT,NA_PRESENT,
2008-11-20T19:00:00Z,2008-11-20T12:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-20T20:00:00Z,2008-11-20T13:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-20T21:00:00Z,2008-11-20T14:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-20T22:00:00Z,2008-11-20T15:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-20T23:00:00Z,2008-11-20T16:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-21T00:00:00Z,2008-11-20T17:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-21T01:00:00Z,2008-11-20T18:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-21T02:00:00Z,2008-11-20T19:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-21T03:00:00Z,2008-11-20T20:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-11-21T04:00:00Z,2008-11-20T21:44:26Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
