TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,netrad,ws,precip,ext_rad
2015-03-04T19:30:00Z,2015-03-04T12:50:29Z,,,,,,,CALCULATED
2015-03-04T19:40:00Z,2015-03-04T13:00:29Z,,,,,,OUT_WARN,CALCULATED
2015-03-04T19:50:00Z,2015-03-04T13:10:29Z,,,,,,,CALCULATED
2015-03-04T20:00:00Z,2015-03-04T13:20:29Z,,,,,,,CALCULATED
2015-03-04T20:10:00Z,2015-03-04T13:30:29Z,,,,,,,CALCULATED
2015-03-04T20:20:00Z,2015-03-04T13:40:29Z,,,,,,,CALCULATED
2015-03-04T20:30:00Z,2015-03-04T13:50:29Z,,,,,,,CALCULATED
2015-03-04T20:40:00Z,2015-03-04T14:00:29Z,,,,,,,CALCULATED
2015-03-04T20:50:00Z,2015-03-04T14:10:29Z,,,,,,,CALCULATED
2015-03-04T21:00:00Z,2015-03-04T14:20:29Z,,,,,,,CALCULATED
2015-03-04T21:10:00Z,2015-03-04T14:30:29Z,,,,,,,CALCULATED
2015-03-04T21:20:00Z,2015-03-04T14:40:29Z,,,,,,,CALCULATED
2015-03-04T21:30:00Z,2015-03-04T14:50:29Z,,,,,,,CALCULATED
2015-03-04T21:40:00Z,2015-03-04T15:00:29Z,,,,,,,CALCULATED
2015-03-04T21:50:00Z,2015-03-04T15:10:29Z,,,,,,,CALCULATED
2015-03-04T22:00:00Z,2015-03-04T15:20:29Z,,,,,,,CALCULATED
2015-03-04T22:10:00Z,2015-03-04T15:30:29Z,,,,,,,CALCULATED
2015-03-04T22:20:00Z,2015-03-04T15:40:29Z,,,,,,,CALCULATED
2015-03-04T22:30:00Z,2015-03-04T15:50:29Z,,,,,,,CALCULATED
2015-03-04T22:40:00Z,2015-03-04T16:00:29Z,,,,,,,CALCULATED
2015-03-04T22:50:00Z,2015-03-04T16:10:29Z,,,,,,,CALCULATED
2015-03-04T23:00:00Z,2015-03-04T16:20:29Z,,,,,,,CALCULATED
2015-03-04T23:10:00Z,2015-03-04T16:30:29Z,,,,,,,CALCULATED
2015-03-04T23:20:00Z,2015-03-04T16:40:29Z,,,,,,,CALCULATED
2015-03-04T23:30:00Z,2015-03-04T16:50:29Z,,,,,,,CALCULATED
2015-03-04T23:40:00Z,2015-03-04T17:00:29Z,,,,,,,CALCULATED
2015-03-04T23:50:00Z,2015-03-04T17:10:29Z,,,,,,,CALCULATED
2015-03-05T00:00:00Z,2015-03-04T17:20:29Z,,,,,,,CALCULATED
2015-03-05T00:10:00Z,2015-03-04T17:30:29Z,,,,,,,CALCULATED
2015-03-05T00:20:00Z,2015-03-04T17:40:29Z,,,,,,,CALCULATED
2015-03-05T00:30:00Z,2015-03-04T17:50:29Z,,,,,,,CALCULATED
2015-03-05T00:40:00Z,2015-03-04T18:00:29Z,,,,,,,CALCULATED
2015-03-05T00:50:00Z,2015-03-04T18:10:29Z,,,,,,,CALCULATED
2015-03-05T01:00:00Z,2015-03-04T18:20:29Z,,,,,,,CALCULATED
