TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,ext_rad
2015-06-18T23:00:00Z,2015-06-18T23:21:11Z,11.203,82.53,0.2324,0,0,-13.426,2.8085,0,0
2015-06-18T23:10:00Z,2015-06-18T23:31:11Z,11.287,82.08,0.23972,0,0,-14.435,3.0604,0,0
2015-06-18T23:20:00Z,2015-06-18T23:41:11Z,11.35,81.94,0.2426,0,0,-16.37,2.8272,0,0
2015-06-18T23:30:00Z,2015-06-18T23:51:11Z,11.369,82.13,0.24035,0,0,-16.273,3.248,0,0
2015-06-18T23:40:00Z,2015-06-19T00:00:59Z,11.446,82.06,0.24253,0,0,-17.678,3.1187,0,0
2015-06-18T23:50:00Z,2015-06-19T00:10:59Z,11.466,82.22,0.24068,0,0,-16.781,3.3603,0,0
2015-06-19T00:00:00Z,2015-06-19T00:20:59Z,11.446,82.58,0.2355,0,0,-17.03,2.8042,0,0
2015-06-19T00:10:00Z,2015-06-19T00:30:59Z,11.333,83.09,0.2269,0,0,-14.942,2.6021,0,0
2015-06-19T00:20:00Z,2015-06-19T00:40:59Z,11.239,83.54,0.21949,0,0,-13.74,2.548,0,0
2015-06-19T00:30:00Z,2015-06-19T00:50:59Z,11.213,83.82,0.21538,0,0,-16.264,2.6501,0,0
2015-06-19T00:40:00Z,2015-06-19T01:00:59Z,11.158,84.34,0.2077,0,0,-16.102,2.6874,0,0
2015-06-19T00:50:00Z,2015-06-19T01:10:59Z,11.061,85.45,0.19174,0,0,-16.145,3.1791,0,0
2015-06-19T01:00:00Z,2015-06-19T01:20:59Z,10.957,86.86,0.17197,0,0,-13.887,3.4541,0,0
2015-06-19T01:10:00Z,2015-06-19T01:30:59Z,10.843,88.56,0.14859,0,0,-11.264,2.9459,0,0
2015-06-19T01:20:00Z,2015-06-19T01:40:59Z,10.811,89.64,0.13427,0,0,-8.202,2.927,0,0
2015-06-19T01:30:00Z,2015-06-19T01:50:59Z,10.571,91.71,0.10574,0,0,-3.836,2.7728,0,0
2015-06-19T01:40:00Z,2015-06-19T02:00:59Z,10.2,94.83,0.064329,0,0,-2.325,2.7334,0.22276,0
2015-06-19T01:50:00Z,2015-06-19T02:10:59Z,10.042,96.05,0.048632,0,0,-2.047,3.0522,0.22276,0
