TIMESTAMP,solar_TIMESTAMP,NLD_SPE_DOU_Pme_Js_1,NLD_SPE_DOU_Pme_Js_2,NLD_SPE_DOU_Pme_Js_3
2015-06-18T23:00:00Z,2015-06-18T23:21:11Z,0.05252,0.16941,0.14467
2015-06-18T23:10:00Z,2015-06-18T23:31:11Z,0.05252,0.16941,0.13195
2015-06-18T23:20:00Z,2015-06-18T23:41:11Z,0.05252,0.1571,0.13195
2015-06-18T23:30:00Z,2015-06-18T23:51:11Z,0.041925,0.14499,0.13195
2015-06-18T23:40:00Z,2015-06-19T00:00:59Z,0.041925,0.13308,0.11947
2015-06-18T23:50:00Z,2015-06-19T00:10:59Z,0.05252,0.13308,0.11947
2015-06-19T00:00:00Z,2015-06-19T00:20:59Z,0.041925,0.12138,0.11947
2015-06-19T00:10:00Z,2015-06-19T00:30:59Z,0.041925,0.10991,0.11947
2015-06-19T00:20:00Z,2015-06-19T00:40:59Z,0.041925,0.098665,0.10724
2015-06-19T00:30:00Z,2015-06-19T00:50:59Z,0.031828,0.098665,0.10724
2015-06-19T00:40:00Z,2015-06-19T01:00:59Z,0.031828,0.098665,0.10724
2015-06-19T00:50:00Z,2015-06-19T01:10:59Z,0.031828,0.087674,0.095291
2015-06-19T01:00:00Z,2015-06-19T01:20:59Z,0.031828,0.087674,0.095291
2015-06-19T01:10:00Z,2015-06-19T01:30:59Z,0.031828,0.087674,0.095291
2015-06-19T01:20:00Z,2015-06-19T01:40:59Z,0.031828,0.076949,0.095291
2015-06-19T01:30:00Z,2015-06-19T01:50:59Z,0.031828,0.076949,0.095291
2015-06-19T01:40:00Z,2015-06-19T02:00:59Z,0.022317,0.066511,0.08363
2015-06-19T01:50:00Z,2015-06-19T02:10:59Z,0.022317,0.066511,0.08363
2015-06-19T02:00:00Z,2015-06-19T02:20:59Z,0.022317,0.056386,0.072282
2015-06-19T02:10:00Z,2015-06-19T02:30:59Z,0.022317,0.056386,0.061274
2015-06-19T02:20:00Z,2015-06-19T02:40:59Z,0.022317,0.046603,0.050641
2015-06-19T02:30:00Z,2015-06-19T02:50:59Z,0.013536,0.037205,0.030691
2015-06-19T02:40:00Z,2015-06-19T03:00:59Z,0.013536,0.037205,0.02152
2015-06-19T02:50:00Z,2015-06-19T03:10:59Z,0.013536,0.028247,0.013053
2015-06-19T03:00:00Z,2015-06-19T03:20:59Z,0.0057617,0.028247,0.0055564
2015-06-19T03:10:00Z,2015-06-19T03:30:59Z,0.0057617,0.019808,0
2015-06-19T03:20:00Z,2015-06-19T03:40:59Z,0.0057617,0.012015,0.02152
2015-06-19T03:30:00Z,2015-06-19T03:50:59Z,0.0057617,0.012015,0.095291
2015-06-19T03:40:00Z,2015-06-19T04:00:59Z,0,0.012015,0.17081
2015-06-19T03:50:00Z,2015-06-19T04:10:59Z,0,0.0051147,0.21158
2015-06-19T04:00:00Z,2015-06-19T04:20:59Z,0,0.0051147,0.22556
2015-06-19T04:10:00Z,2015-06-19T04:30:59Z,0,0.0051147,0.23973
2015-06-19T04:20:00Z,2015-06-19T04:40:59Z,0,0.0051147,0.23973
2015-06-19T04:30:00Z,2015-06-19T04:50:59Z,0,0.0051147,0.22556
2015-06-19T04:40:00Z,2015-06-19T05:00:59Z,0,0,0.22556
2015-06-19T04:50:00Z,2015-06-19T05:10:59Z,0,0,0.19779
2015-06-19T05:00:00Z,2015-06-19T05:20:59Z,0,0.0051107,0.17095
2015-06-19T05:10:00Z,2015-06-19T05:30:59Z,0,0.0051107,0.15776
2015-06-19T05:20:00Z,2015-06-19T05:40:59Z,0.022317,0.0051107,0.13206
2015-06-19T05:30:00Z,2015-06-19T05:50:59Z,0.041925,0,0.11957
2015-06-19T05:40:00Z,2015-06-19T06:00:59Z,0.063549,0,0.10733
2015-06-19T05:50:00Z,2015-06-19T06:10:59Z,0.086738,0,0.0837
2015-06-19T06:00:00Z,2015-06-19T06:20:59Z,0.11123,0,0.0837
2015-06-19T06:10:00Z,2015-06-19T06:30:59Z,0.12392,0,0.072342
2015-06-19T06:20:00Z,2015-06-19T06:40:59Z,0.12392,0,0.050684
2015-06-19T06:30:00Z,2015-06-19T06:50:59Z,0.12392,0,0.040461
2015-06-19T06:40:00Z,2015-06-19T07:00:59Z,0.13687,0,0.030717
2015-06-19T06:50:00Z,2015-06-19T07:10:59Z,0.13687,0,0.021538
2015-06-19T07:00:00Z,2015-06-19T07:20:59Z,0.15007,0,0.021538
2015-06-19T07:10:00Z,2015-06-19T07:30:59Z,0.15007,0,0.005561
2015-06-19T07:20:00Z,2015-06-19T07:40:59Z,0.15007,0,0.005561
2015-06-19T07:30:00Z,2015-06-19T07:50:59Z,0.15007,0,0.005561
2015-06-19T07:40:00Z,2015-06-19T08:00:59Z,0.15007,0,0.005561
2015-06-19T07:50:00Z,2015-06-19T08:10:59Z,0.15007,0,0.005561
2015-06-19T08:00:00Z,2015-06-19T08:20:59Z,0.15007,0.0051107,0.005561
2015-06-19T08:10:00Z,2015-06-19T08:30:59Z,0.15007,0.0051107,0.013064
2015-06-19T08:20:00Z,2015-06-19T08:40:59Z,0.15007,0.012006,0.021538
2015-06-19T08:30:00Z,2015-06-19T08:50:59Z,0.15007,0.012006,0.030717
2015-06-19T08:40:00Z,2015-06-19T09:00:59Z,0.15007,0.012006,0.050684
2015-06-19T08:50:00Z,2015-06-19T09:10:59Z,0.13687,0.019792,0.0837
2015-06-19T09:00:00Z,2015-06-19T09:20:59Z,0.13687,0.019792,0.1448
2015-06-19T09:10:00Z,2015-06-19T09:30:59Z,0.13687,0.028225,0.19796
2015-06-19T09:20:00Z,2015-06-19T09:40:59Z,0.15007,0.046567,0.28351
2015-06-19T09:30:00Z,2015-06-19T09:50:59Z,0.16351,0.066459,0.3594
2015-06-19T09:40:00Z,2015-06-19T10:00:59Z,0.16351,0.098588,0.45534
2015-06-19T09:50:00Z,2015-06-19T10:10:59Z,0.19108,0.14488,0.60816
2015-06-19T10:00:00Z,2015-06-19T10:20:59Z,0.23401,0.22026,0.78929
2015-06-19T10:10:00Z,2015-06-19T10:30:59Z,0.29391,0.31559,0.96169
2015-06-19T10:20:00Z,2015-06-19T10:40:59Z,0.34066,0.40271,1.041
2015-06-19T10:30:00Z,2015-06-19T10:50:59Z,0.37264,0.46327,1.1016
