pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,10,RUS_FYO_Psy_Jt_1,31.2,26,NA,tree15,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,451,6,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Pinus sylvestris,NA,RUS_FYO,g h-1
100,No azimuthal correction,5,RUS_FYO_Pab_Jt_10,15,18,NA,tree10,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,95,2.5,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,codominant,Picea abies,NA,RUS_FYO,g h-1
NA,No azimuthal correction,10,RUS_FYO_Psy_Jt_11,28.6,25,NA,tree8,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,381,6.2,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Pinus sylvestris,NA,RUS_FYO,g h-1
70,No azimuthal correction,4,RUS_FYO_Bsp_Jt_12,14,18,NA,tree14,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,97,2.25,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,codominant,Betula sp.,NA,RUS_FYO,g h-1
30,No azimuthal correction,5,RUS_FYO_Pab_Jt_13,9.9,8,NA,tree11,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,19,0.8,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,suppressed,Picea abies,NA,RUS_FYO,g h-1
190,No azimuthal correction,6.5,RUS_FYO_Pab_Jt_14,25.5,24,NA,tree4,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,112.99999999999999,1.7,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Picea abies,NA,RUS_FYO,g h-1
190,No azimuthal correction,9,RUS_FYO_Pab_Jt_15,29.6,24,NA,tree13,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,295,4,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Picea abies,NA,RUS_FYO,g h-1
100,No azimuthal correction,4.5,RUS_FYO_Pab_Jt_16,13.4,16,NA,tree16,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,72,2.3,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,codominant,Picea abies,NA,RUS_FYO,g h-1
200,No azimuthal correction,10,RUS_FYO_Pab_Jt_17,37.9,27,NA,tree19,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,340,4.3,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Picea abies,NA,RUS_FYO,g h-1
170,No azimuthal correction,9,RUS_FYO_Pab_Jt_2,21.6,20,NA,tree6,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,83,1.5,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,codominant,Picea abies,NA,RUS_FYO,g h-1
130,No azimuthal correction,5,RUS_FYO_Bsp_Jt_3,22.3,22,NA,tree9,"Corrected, measured radial variation","R. Poyatos: Either Betula pendula or Betula pubescens?, see http://www.bgc-jena.mpg.de/freiland/index.php/Sites/RussiaTver",cm3 cm-2 h-1,322,9.52,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Betula sp.,NA,RUS_FYO,g h-1
190,No azimuthal correction,7,RUS_FYO_Pab_Jt_4,27.1,25,NA,tree12,"Corrected, measured radial variation","R. Poyatos: Either Betula pendula or Betula pubescens?, see http://www.bgc-jena.mpg.de/freiland/index.php/Sites/RussiaTver",cm3 cm-2 h-1,185,1.5,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Picea abies,NA,RUS_FYO,g h-1
200,No azimuthal correction,10,RUS_FYO_Pab_Jt_5,35.3,27,NA,tree2,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,323,3.4,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Picea abies,NA,RUS_FYO,g h-1
200,No azimuthal correction,9,RUS_FYO_Pab_Jt_6,41.4,27,NA,tree1,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,359,1.3,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Picea abies,NA,RUS_FYO,g h-1
120,No azimuthal correction,6,RUS_FYO_Pab_Jt_7,19.4,20,NA,tree17,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,164,2.4,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,codominant,Picea abies,NA,RUS_FYO,g h-1
190,No azimuthal correction,10,RUS_FYO_Pab_Jt_8,31.8,25,NA,tree18,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,285,2.3,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,dominant,Picea abies,NA,RUS_FYO,g h-1
100,No azimuthal correction,7,RUS_FYO_Pab_Jt_9,12.4,16,NA,tree5,"Corrected, measured radial variation",NA,cm3 cm-2 h-1,57.99999999999999,1.2,FALSE,No correction,Previous night zero flow,1.5,50,Lab made,HD,30,codominant,Picea abies,NA,RUS_FYO,g h-1
