pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,16,SWE_NOR_ST1_AF1_Psy_Jt_1,35,24.6,NA,2009_1,Sensor-integrated,NA,cm3 cm-2 h-1,481.97766052415415,NA,FALSE,No correction,Previous night zero flow,1.47,NA,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,15,SWE_NOR_ST1_AF1_Psy_Jt_10,36.3,28.2,NA,2009_10,Sensor-integrated,NA,cm3 cm-2 h-1,513.0659580331081,NA,FALSE,No correction,Previous night zero flow,1.3,NA,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,8,SWE_NOR_ST1_AF1_Pab_Jt_11,34.1,27.3,NA,2009_11,Sensor-integrated,NA,cm3 cm-2 h-1,459.2099834299334,NA,FALSE,No correction,Previous night zero flow,1.3,NA,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,12,SWE_NOR_ST1_AF1_Psy_Jt_12,32.8,27.7,NA,2009_12,Sensor-integrated,NA,cm3 cm-2 h-1,429.5906827587028,NA,FALSE,No correction,Previous night zero flow,1.3,NA,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,22,SWE_NOR_ST1_AF1_Psy_Jt_2,31.5,26.3,NA,2009_2,Sensor-integrated,NA,cm3 cm-2 h-1,400.82176937961924,NA,FALSE,No correction,Previous night zero flow,1.38,NA,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,18,SWE_NOR_ST1_AF1_Psy_Jt_3,30.2,24.6,NA,2009_3,Sensor-integrated,NA,cm3 cm-2 h-1,372.91170868286537,NA,FALSE,No correction,Previous night zero flow,1.3,NA,Ems Brno,TSHB,30,suppressed,Pinus sylvestris,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,14,SWE_NOR_ST1_AF1_Pab_Jt_4,45.5,28.1,NA,2009_4,Sensor-integrated,NA,cm3 cm-2 h-1,762.8300202857791,NA,FALSE,No correction,Previous night zero flow,1.4,NA,Ems Brno,TSHB,30,dominant,Picea abies,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,8.5,SWE_NOR_ST1_AF1_Pab_Jt_5,23.6,20.4,NA,2009_5,Sensor-integrated,NA,cm3 cm-2 h-1,240.84920649945096,NA,FALSE,No correction,Previous night zero flow,1.3,NA,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,8,SWE_NOR_ST1_AF1_Pab_Jt_6,24.8,21.2,NA,2009_6,Sensor-integrated,NA,cm3 cm-2 h-1,264.0920118308627,NA,FALSE,No correction,Previous night zero flow,1.3,NA,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,12,SWE_NOR_ST1_AF1_Psy_Jt_7,39.8,31.3,NA,2009_7,Sensor-integrated,NA,cm3 cm-2 h-1,602.8124774298047,NA,FALSE,No correction,Previous night zero flow,1.2,NA,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,7.5,SWE_NOR_ST1_AF1_Pab_Jt_8,27.4,26.2,NA,2009_8,Sensor-integrated,NA,cm3 cm-2 h-1,313.3011579166525,NA,FALSE,No correction,Previous night zero flow,1.3,NA,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST1_AF1,kg h-1
NA,No azimuthal correction,15,SWE_NOR_ST1_AF1_Psy_Jt_9,50,25.8,NA,2009_9,Sensor-integrated,NA,cm3 cm-2 h-1,898.2849055462841,NA,FALSE,No correction,Previous night zero flow,1.42,NA,Ems Brno,TSHB,30,dominant,Pinus sylvestris,NA,SWE_NOR_ST1_AF1,kg h-1
