pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST2_Psy_Jt_1,30.2,28.2,NA,2001_1,Sensor-integrated,NA,cm3 cm-2 h-1,372.06099031066117,NA,FALSE,No correction,Previous night zero flow,1.4,45,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",4,SWE_NOR_ST2_Pab_Jt_10,17.3,19.6,NA,2001_10,Sensor-integrated,NA,cm3 cm-2 h-1,140.3403864159685,NA,FALSE,No correction,Previous night zero flow,1.495,35,Ems Brno,TSHB,30,suppressed,Picea abies,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",6,SWE_NOR_ST2_Pab_Jt_11,26,27.2,NA,2001_11,Sensor-integrated,NA,cm3 cm-2 h-1,286.28945148500554,NA,FALSE,No correction,Previous night zero flow,1.54,NA,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST2_Psy_Jt_12,33.4,25.9,NA,2001_12,Sensor-integrated,NA,cm3 cm-2 h-1,443.77037293963275,NA,FALSE,No correction,Previous night zero flow,1.54,NA,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",6,SWE_NOR_ST2_Pab_Jt_2,25.9,25.3,NA,2001_2,Sensor-integrated,NA,cm3 cm-2 h-1,284.3652833979715,NA,FALSE,No correction,Previous night zero flow,1.3,45,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST2_Psy_Jt_3,25.6,27.5,NA,2001_3,Sensor-integrated,NA,cm3 cm-2 h-1,278.626183882817,NA,FALSE,No correction,Previous night zero flow,1.79,NA,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST2_Psy_Jt_4,35.7,28.3,NA,2001_4,Sensor-integrated,NA,cm3 cm-2 h-1,498.62191888856916,NA,FALSE,No correction,Previous night zero flow,1.5,45,Ems Brno,TSHB,30,dominant,Pinus sylvestris,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",6,SWE_NOR_ST2_Pab_Jt_5,29.6,26.4,NA,2001_5,Sensor-integrated,NA,cm3 cm-2 h-1,359.22163221971175,NA,FALSE,No correction,Previous night zero flow,1.525,45,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",6,SWE_NOR_ST2_Pab_Jt_6,19.5,22.1,NA,2001_6,Sensor-integrated,NA,cm3 cm-2 h-1,173.0463954547733,NA,FALSE,No correction,Previous night zero flow,1.405,35,Ems Brno,TSHB,30,suppressed,Picea abies,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST2_Psy_Jt_7,30.5,27.3,NA,2001_7,Sensor-integrated,NA,cm3 cm-2 h-1,378.55301228199187,NA,FALSE,No correction,Previous night zero flow,1.47,45,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",5.5,SWE_NOR_ST2_Pab_Jt_8,25.2,24,NA,2001_8,Sensor-integrated,NA,cm3 cm-2 h-1,271.0521983098083,NA,FALSE,No correction,Previous night zero flow,1.61,45,Ems Brno,TSHB,30,codominant,Picea abies,NA,SWE_NOR_ST2,kg h-1
NA,"Corrected, measured azimuthal variation",NA,SWE_NOR_ST2_Psy_Jt_9,31.3,27,NA,2001_9,Sensor-integrated,NA,cm3 cm-2 h-1,396.0997590499886,NA,FALSE,No correction,Previous night zero flow,1.48,45,Ems Brno,TSHB,30,codominant,Pinus sylvestris,NA,SWE_NOR_ST2,kg h-1
