pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
55,No azimuthal correction,4,SWE_SKO_MIN_Pab_Jt_1,34,NA,NA,1,Sensor-integrated,NA,cm3 cm-2 h-1,546,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,7,SWE_SKO_MIN_Pab_Jt_10,46,NA,NA,11,Sensor-integrated,NA,cm3 cm-2 h-1,1039,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,6,SWE_SKO_MIN_Pab_Jt_11,38,NA,NA,12,Sensor-integrated,NA,cm3 cm-2 h-1,696,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,8,SWE_SKO_MIN_Pab_Jt_2,48,NA,NA,2,Sensor-integrated,NA,cm3 cm-2 h-1,1127,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,5,SWE_SKO_MIN_Pab_Jt_3,34,NA,NA,3,Sensor-integrated,NA,cm3 cm-2 h-1,560,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,7,SWE_SKO_MIN_Pab_Jt_4,55,NA,NA,5,Sensor-integrated,NA,cm3 cm-2 h-1,1517,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,4.5,SWE_SKO_MIN_Pab_Jt_5,33,NA,NA,6,Sensor-integrated,NA,cm3 cm-2 h-1,511,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,7,SWE_SKO_MIN_Pab_Jt_6,52,NA,NA,7,Sensor-integrated,NA,cm3 cm-2 h-1,1360,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,5,SWE_SKO_MIN_Pab_Jt_7,40,NA,NA,8,Sensor-integrated,NA,cm3 cm-2 h-1,778,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,4.5,SWE_SKO_MIN_Pab_Jt_8,29,NA,NA,9,Sensor-integrated,NA,cm3 cm-2 h-1,385,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
55,No azimuthal correction,7,SWE_SKO_MIN_Pab_Jt_9,44,NA,NA,10,Sensor-integrated,NA,cm3 cm-2 h-1,933,NA,FALSE,No correction,Previous night zero flow,NA,NA,Ems Brno,SHB,30,NA,Picea abies,NA,SWE_SKO_MIN,kg h-1
