TIMESTAMP,solar_TIMESTAMP,SWE_SKO_MIN_Pab_Jt_1,SWE_SKO_MIN_Pab_Jt_2,SWE_SKO_MIN_Pab_Jt_3,SWE_SKO_MIN_Pab_Jt_4,SWE_SKO_MIN_Pab_Jt_5,SWE_SKO_MIN_Pab_Jt_6,SWE_SKO_MIN_Pab_Jt_7,SWE_SKO_MIN_Pab_Jt_8,SWE_SKO_MIN_Pab_Jt_9,SWE_SKO_MIN_Pab_Jt_10,SWE_SKO_MIN_Pab_Jt_11
2014-12-31T23:00:00Z,2014-12-31T23:44:33Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-31T23:30:00Z,2015-01-01T00:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T00:00:00Z,2015-01-01T00:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T00:30:00Z,2015-01-01T01:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T01:00:00Z,2015-01-01T01:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T01:30:00Z,2015-01-01T02:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T02:00:00Z,2015-01-01T02:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T02:30:00Z,2015-01-01T03:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T03:00:00Z,2015-01-01T03:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T03:30:00Z,2015-01-01T04:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T04:00:00Z,2015-01-01T04:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T04:30:00Z,2015-01-01T05:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T05:00:00Z,2015-01-01T05:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T05:30:00Z,2015-01-01T06:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T06:00:00Z,2015-01-01T06:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T06:30:00Z,2015-01-01T07:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T07:00:00Z,2015-01-01T07:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T07:30:00Z,2015-01-01T08:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T08:00:00Z,2015-01-01T08:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T08:30:00Z,2015-01-01T09:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T09:00:00Z,2015-01-01T09:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T09:30:00Z,2015-01-01T10:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T10:00:00Z,2015-01-01T10:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T10:30:00Z,2015-01-01T11:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T11:00:00Z,2015-01-01T11:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T11:30:00Z,2015-01-01T12:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T12:00:00Z,2015-01-01T12:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T12:30:00Z,2015-01-01T13:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T13:00:00Z,2015-01-01T13:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T13:30:00Z,2015-01-01T14:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T14:00:00Z,2015-01-01T14:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T14:30:00Z,2015-01-01T15:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T15:00:00Z,2015-01-01T15:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T15:30:00Z,2015-01-01T16:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T16:00:00Z,2015-01-01T16:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T16:30:00Z,2015-01-01T17:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T17:00:00Z,2015-01-01T17:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T17:30:00Z,2015-01-01T18:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T18:00:00Z,2015-01-01T18:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T18:30:00Z,2015-01-01T19:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T19:00:00Z,2015-01-01T19:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T19:30:00Z,2015-01-01T20:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T20:00:00Z,2015-01-01T20:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T20:30:00Z,2015-01-01T21:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T21:00:00Z,2015-01-01T21:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T21:30:00Z,2015-01-01T22:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T22:00:00Z,2015-01-01T22:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T22:30:00Z,2015-01-01T23:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T23:00:00Z,2015-01-01T23:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T23:30:00Z,2015-01-02T00:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
