pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
60,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Asa_Js_1,27.2,18.50472875,267.2066583,A01,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,494.0983682,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Acer saccharum,NA,USA_CHE_MAP,g m-2 s-1
60,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Asa_Js_10,23.2,17.07642124,187.5907033,A08,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,366.7636206,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Acer saccharum,NA,USA_CHE_MAP,g m-2 s-1
60,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Asa_Js_100,29.5,19.27904624,320.0738521,H04,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,575.0202968,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Acer saccharum,NA,USA_CHE_MAP,g m-2 s-1
50,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Pre_Js_101,35,20.8212789,267.3194711,H04-2,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,790.7402571,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Pinus resinosa,NA,USA_CHE_MAP,g m-2 s-1
60,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Asa_Js_102,13.8,13.13603708,59.08226297,H05,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,137.4549722,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Acer saccharum,NA,USA_CHE_MAP,g m-2 s-1
60,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Asa_Js_103,26.6,18.29745356,254.2744906,H06,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,473.9058872,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Acer saccharum,NA,USA_CHE_MAP,g m-2 s-1
50,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Pre_Js_104,51.9,25.56827765,914.5398835,H09,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,1640.836021,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Pinus resinosa,NA,USA_CHE_MAP,g m-2 s-1
50,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Pre_Js_105,39.1,22.05903317,377.7687207,H10,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,971.4472841,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Pinus resinosa,NA,USA_CHE_MAP,g m-2 s-1
50,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Pre_Js_106,36.1,21.15988166,294.4337858,H11,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,837.5751158,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Pinus resinosa,NA,USA_CHE_MAP,g m-2 s-1
50,"Corrected, measured azimuthal variation",NA,USA_CHE_MAP_Pre_Js_107,41.8,22.84041159,465.3315621,H12,"Corrected, species coefficients","species specific sapwood area derived from previous studies in this area, leaf area derived from more general published species-specific allometric equations",cm3 cm-2 h-1,1099.525068,NA,FALSE,No correction,Long time-window zero flow,1.37,3,Lab made,HD,30,codominant,Pinus resinosa,NA,USA_CHE_MAP,g m-2 s-1
