pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
35,No azimuthal correction,4,USA_HIL_HF1_PRE_Pta_Js_1,17.3,NA,NA,HF1LoblollyPine1,"Corrected, species coefficients",NA,cm3 cm-2 h-1,226,8.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF1_PRE_Lst_Js_10,10.4,NA,NA,HF2SweetGum5,No radial correction,NA,cm3 cm-2 h-1,83,4.8,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF1_PRE_Aru_Js_11,9.9,NA,NA,HF2RedMaple1,"Corrected, species coefficients",NA,cm3 cm-2 h-1,48,4.3,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Acer rubrum,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF1_PRE_Aru_Js_12,13.2,NA,NA,HF2RedMaple2,No radial correction,NA,cm3 cm-2 h-1,150,5.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Acer rubrum,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF1_PRE_Aru_Js_13,12.7,NA,NA,HF2RedMaple3,No radial correction,NA,cm3 cm-2 h-1,134,5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Acer rubrum,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF1_PRE_Aru_Js_14,38.4,NA,NA,HF2RedMaple4,No radial correction,NA,cm3 cm-2 h-1,932,11,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Acer rubrum,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,0.8,USA_HIL_HF1_PRE_Aru_Js_15,27.7,NA,NA,HF2RedMaple5,No radial correction,NA,cm3 cm-2 h-1,601,8.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Acer rubrum,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF1_PRE_Qal_Js_16,13.2,NA,NA,HF2Oak1,"Corrected, species coefficients",Quercus alba and Quercus rubra are both present in the area,cm3 cm-2 h-1,107,2.7,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus alba,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF1_PRE_Qal_Js_17,19.6,NA,NA,HF2Oak2,No radial correction,Quercus alba and Quercus rubra are both present in the area,cm3 cm-2 h-1,189,4.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus alba,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF1_PRE_Qal_Js_18,14.2,NA,NA,HF2Oak3,No radial correction,Quercus alba and Quercus rubra are both present in the area,cm3 cm-2 h-1,120,2.9,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus alba,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF1_PRE_Qal_Js_19,16.8,NA,NA,HF2Oak4,No radial correction,Quercus alba and Quercus rubra are both present in the area,cm3 cm-2 h-1,153,3.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus alba,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,4,USA_HIL_HF1_PRE_Pta_Js_2,18.3,NA,NA,HF1LoblollyPine2,No radial correction,NA,cm3 cm-2 h-1,269,8.7,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.4,USA_HIL_HF1_PRE_Qal_Js_20,21.6,NA,NA,HF2Oak5,No radial correction,Quercus alba and Quercus rubra are both present in the area,cm3 cm-2 h-1,216,4.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Quercus alba,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF1_PRE_Ltu_Js_21,12,NA,NA,HF2TulipPoplar1,No radial correction,NA,cm3 cm-2 h-1,59,2.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF1_PRE_Ltu_Js_22,17.3,NA,NA,HF2TulipPoplar2,No radial correction,NA,cm3 cm-2 h-1,182,4,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF1_PRE_Ltu_Js_23,24.6,NA,NA,HF2TulipPoplar3,No radial correction,NA,cm3 cm-2 h-1,381,6.1,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF1_PRE_Ltu_Js_24,27,NA,NA,HF2TulipPoplar4,No radial correction,NA,cm3 cm-2 h-1,443,6.8,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,1.5,USA_HIL_HF1_PRE_Ltu_Js_25,18.5,NA,NA,HF2TulipPoplar5,No radial correction,NA,cm3 cm-2 h-1,216,4.4,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Liriodendron tulipifera,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,4,USA_HIL_HF1_PRE_Pta_Js_3,14.7,NA,NA,HF1LoblollyPine3,No radial correction,NA,cm3 cm-2 h-1,117,6.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,4,USA_HIL_HF1_PRE_Pta_Js_4,14.5,NA,NA,HF1LoblollyPine4,No radial correction,NA,cm3 cm-2 h-1,106,6.4,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,4,USA_HIL_HF1_PRE_Pta_Js_5,14.5,NA,NA,HF1LoblollyPine5,No radial correction,NA,cm3 cm-2 h-1,106,6.4,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,dominant,Pinus taeda,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF1_PRE_Lst_Js_6,13.2,NA,NA,HF2SweetGum1,"Corrected, species coefficients",NA,cm3 cm-2 h-1,141,6.2,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF1_PRE_Lst_Js_7,19.8,NA,NA,HF2SweetGum2,No radial correction,NA,cm3 cm-2 h-1,277,9.6,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF1_PRE_Lst_Js_8,9.7,NA,NA,HF2SweetGum3,No radial correction,NA,cm3 cm-2 h-1,67,4.5,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF1_PRE,g m-2 s-1
35,No azimuthal correction,2.3,USA_HIL_HF1_PRE_Lst_Js_9,11.4,NA,NA,HF2SweetGum4,No radial correction,NA,cm3 cm-2 h-1,104,5.3,FALSE,No correction,Not needed,1.37,20,Lab made,HD,10,codominant,Liquidambar styraciflua,NA,USA_HIL_HF1_PRE,g m-2 s-1
