TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ppfd_in,ws,precip,swc_shallow,ext_rad
1998-04-08T01:00:00Z,1998-04-07T19:12:28Z,18.94,58.7,0.907335166087935,0,0,3.955,0,0.42432499999999995,0
1998-04-08T02:00:00Z,1998-04-07T20:12:28Z,18.44,61.29,0.8242479516222951,0,0,4.332,0,0.4256999999999999,0
1998-04-08T03:00:00Z,1998-04-07T21:12:28Z,17.83,66.48,0.6869045563149727,0,0,4.475,0,0.4261,0
1998-04-08T04:00:00Z,1998-04-07T22:12:28Z,17.26,71.1,0.5713051643735254,0,0,4.923,0,0.4264,0
1998-04-08T05:00:00Z,1998-04-07T23:12:28Z,17.1,67.1,0.6438262143329561,0,0,5.795,0,0.42617499999999997,0
1998-04-08T06:00:00Z,1998-04-08T00:12:44Z,14.23,80.5,0.31753365875394945,0,0,3.647,1.9,0.428975,0
1998-04-08T07:00:00Z,1998-04-08T01:12:44Z,12.09,92.2,0.11044750903051526,0,0,1.98,1.4,0.4348,0
1998-04-08T08:00:00Z,1998-04-08T02:12:44Z,11.76,95.1,0.06789012402639583,0,0,1.937,0.1,0.438625,0
1998-04-08T09:00:00Z,1998-04-08T03:12:44Z,11.26,97.1,0.03887245815998486,0,0,3.133,0,0.44049999999999995,157.87370799354136
1998-04-08T10:00:00Z,1998-04-08T04:12:44Z,11.31,94.9,0.06858883038654051,0,0,3.19,0,0.44192499999999996,426.73473212103437
1998-04-08T11:00:00Z,1998-04-08T05:12:44Z,11.13,95.4,0.06113039613414206,0,0,3.552,0,0.44284999999999997,673.9190524196293
1998-04-08T12:00:00Z,1998-04-08T06:12:44Z,11.92,90.6,0.13162053821645792,32.67,129,4.545,0,0.44287499999999996,882.5750057304394
1998-04-08T13:00:00Z,1998-04-08T07:12:44Z,12.57,83.4,0.2425895634369164,131.4,261.9,4.17,0,0.4437,1038.4775904475682
1998-04-08T14:00:00Z,1998-04-08T08:12:44Z,15.36,56.77,0.7571469212367169,462.1,934,1.323,NA,NA,1130.998246588231
1998-04-08T15:00:00Z,1998-04-08T09:12:44Z,17.16,47.36,1.034042426733329,653.4,1273,5.554,0,0.451525,1153.829449370869
1998-04-08T16:00:00Z,1998-04-08T10:12:44Z,18.24,44.32,1.1708090339625001,740,1433,6.155,0,0.45202500000000007,1105.4147178320675
1998-04-08T17:00:00Z,1998-04-08T11:12:44Z,19.41,39.63,1.3657125803329262,747,1455,7.22,0,0.4522,989.0547232526186
1998-04-08T18:00:00Z,1998-04-08T12:12:44Z,19.9,38.25,1.4400846814195847,766,1504,8.05,0.1,0.452175,812.6822639177693
1998-04-08T19:00:00Z,1998-04-08T13:12:44Z,20.81,36.09,1.5766197502155963,813,1587,8.52,0,0.45215000000000005,588.3214475914331
1998-04-08T20:00:00Z,1998-04-08T14:12:44Z,21.15,33.44,1.6766680877253315,800,1519,8.65,0,0.4521,331.26795201086617
1998-04-08T21:00:00Z,1998-04-08T15:12:44Z,21.75,33.9,1.7274034239204044,620.4,1223,6.308,0,0.45215000000000005,59.04624898716787
1998-04-08T22:00:00Z,1998-04-08T16:12:44Z,22.04,32.57,1.793629199641095,360.9,888,6.41,0,0.45289999999999997,0
