TIMESTAMP,TIMESTAMP_solar,USA_INM_Asa_Js_1,USA_INM_Fam_Js_2,USA_INM_Fam_Js_3,USA_INM_Ltu_Js_4,USA_INM_Ltu_Js_5,USA_INM_Qal_Js_6,USA_INM_Qal_Js_7,USA_INM_Sal_Js_8,USA_INM_Uam_Js_9
1998-04-08T01:00:00Z,1998-04-07T19:12:28Z,,,,,,,,,
1998-04-08T02:00:00Z,1998-04-07T20:12:28Z,,,,,,,,,
1998-04-08T03:00:00Z,1998-04-07T21:12:28Z,,,,,,,,,
1998-04-08T04:00:00Z,1998-04-07T22:12:28Z,,,,,,,,,
1998-04-08T05:00:00Z,1998-04-07T23:12:28Z,,,,,,,,,
1998-04-08T06:00:00Z,1998-04-08T00:12:44Z,,,,,,,,,
1998-04-08T07:00:00Z,1998-04-08T01:12:44Z,,,,,,,,,
1998-04-08T08:00:00Z,1998-04-08T02:12:44Z,,,,,,,,,
1998-04-08T09:00:00Z,1998-04-08T03:12:44Z,,,,,,,,,
1998-04-08T10:00:00Z,1998-04-08T04:12:44Z,,,,,,,,,
1998-04-08T11:00:00Z,1998-04-08T05:12:44Z,,,,,,,,,
1998-04-08T12:00:00Z,1998-04-08T06:12:44Z,,,,,,,,,
1998-04-08T13:00:00Z,1998-04-08T07:12:44Z,,,,,,,,,
1998-04-08T14:00:00Z,1998-04-08T08:12:44Z,,,,,,,,,
1998-04-08T15:00:00Z,1998-04-08T09:12:44Z,,,,,,,,,
1998-04-08T16:00:00Z,1998-04-08T10:12:44Z,,,,,,,,,
1998-04-08T17:00:00Z,1998-04-08T11:12:44Z,,,,,,,,,
1998-04-08T18:00:00Z,1998-04-08T12:12:44Z,,,,,,,,,
1998-04-08T19:00:00Z,1998-04-08T13:12:44Z,,,,,,,NA_PRESENT,,
1998-04-08T20:00:00Z,1998-04-08T14:12:44Z,,,,,,,,,
1998-04-08T21:00:00Z,1998-04-08T15:12:44Z,,,,,,,,,
1998-04-08T22:00:00Z,1998-04-08T16:12:44Z,,,,,,NA_PRESENT,NA_PRESENT,,
1998-04-08T23:00:00Z,1998-04-08T17:12:44Z,,,,,,,,,
1998-04-09T00:00:00Z,1998-04-08T18:12:44Z,,,,,,,,,
1998-04-09T01:00:00Z,1998-04-08T19:12:44Z,,,,,,,NA_PRESENT,,
1998-04-09T02:00:00Z,1998-04-08T20:12:44Z,,,,,,,,,
1998-04-09T03:00:00Z,1998-04-08T21:12:44Z,,,,,,,,,
1998-04-09T04:00:00Z,1998-04-08T22:12:44Z,,,,,,,,,
1998-04-09T05:00:00Z,1998-04-08T23:12:44Z,,,,,,,,,
1998-04-09T06:00:00Z,1998-04-09T00:13:01Z,,,,,,,,,
1998-04-09T07:00:00Z,1998-04-09T01:13:01Z,,,,,,,,,
1998-04-09T08:00:00Z,1998-04-09T02:13:01Z,,,,,,,,,
1998-04-09T09:00:00Z,1998-04-09T03:13:01Z,,,,,,,,,
1998-04-09T10:00:00Z,1998-04-09T04:13:01Z,,,,,,,,,
1998-04-09T11:00:00Z,1998-04-09T05:13:01Z,,,,,,,,,
1998-04-09T12:00:00Z,1998-04-09T06:13:01Z,,,,,,,,,
1998-04-09T13:00:00Z,1998-04-09T07:13:01Z,,,,,,,,,
1998-04-09T14:00:00Z,1998-04-09T08:13:01Z,,,,,,,,,
1998-04-09T15:00:00Z,1998-04-09T09:13:01Z,,,,,,,,,
1998-04-09T16:00:00Z,1998-04-09T10:13:01Z,,,,,,,,,
1998-04-09T17:00:00Z,1998-04-09T11:13:01Z,,,,,,,,,
1998-04-09T18:00:00Z,1998-04-09T12:13:01Z,,,,,,,,,
1998-04-09T19:00:00Z,1998-04-09T13:13:01Z,,,,,,,,,
1998-04-09T20:00:00Z,1998-04-09T14:13:01Z,,,,,,,,,
1998-04-09T21:00:00Z,1998-04-09T15:13:01Z,,,,,,,,,
1998-04-09T22:00:00Z,1998-04-09T16:13:01Z,,,,,,,,,
1998-04-09T23:00:00Z,1998-04-09T17:13:01Z,,,,,,,,,
1998-04-10T00:00:00Z,1998-04-09T18:13:01Z,,,,,,,,,
1998-04-10T01:00:00Z,1998-04-09T19:13:01Z,,,,,,,,,
1998-04-10T02:00:00Z,1998-04-09T20:13:01Z,,,,,,,,,
1998-04-10T03:00:00Z,1998-04-09T21:13:01Z,,,,,,,,,
1998-04-10T04:00:00Z,1998-04-09T22:13:01Z,,,,,,,,,
1998-04-10T05:00:00Z,1998-04-09T23:13:01Z,,,,,,,,,
1998-04-10T06:00:00Z,1998-04-10T00:13:17Z,,,,,,,,,
1998-04-10T07:00:00Z,1998-04-10T01:13:17Z,,,,,,,,,
1998-04-10T08:00:00Z,1998-04-10T02:13:17Z,,,,,,,,,
1998-04-10T09:00:00Z,1998-04-10T03:13:17Z,,,,,,,,,
1998-04-10T10:00:00Z,1998-04-10T04:13:17Z,,,,,,,,,
1998-04-10T11:00:00Z,1998-04-10T05:13:17Z,,,,,,,,,
1998-04-10T12:00:00Z,1998-04-10T06:13:17Z,,,,,,,,,
1998-04-10T13:00:00Z,1998-04-10T07:13:17Z,,,,,,,,,
1998-04-10T14:00:00Z,1998-04-10T08:13:17Z,,,,,,,,,
1998-04-10T15:00:00Z,1998-04-10T09:13:17Z,,,,,,,,,
1998-04-10T16:00:00Z,1998-04-10T10:13:17Z,,,,,,,,,
1998-04-10T17:00:00Z,1998-04-10T11:13:17Z,,,,,,,,,
1998-04-10T18:00:00Z,1998-04-10T12:13:17Z,,,,,,,,,
1998-04-10T19:00:00Z,1998-04-10T13:13:17Z,,,,,,,,,
1998-04-10T20:00:00Z,1998-04-10T14:13:17Z,,,,,,,,,
1998-04-10T21:00:00Z,1998-04-10T15:13:17Z,,,,,,,,,
1998-04-10T22:00:00Z,1998-04-10T16:13:17Z,,,,,,,,,
1998-04-10T23:00:00Z,1998-04-10T17:13:17Z,,,,,,,,,
1998-04-11T00:00:00Z,1998-04-10T18:13:17Z,,,,,,,,,
1998-04-11T01:00:00Z,1998-04-10T19:13:17Z,,,,,,,,,
1998-04-11T02:00:00Z,1998-04-10T20:13:17Z,,,,,,,,,
1998-04-11T03:00:00Z,1998-04-10T21:13:17Z,,,,,,,,,
1998-04-11T04:00:00Z,1998-04-10T22:13:17Z,,,,,,,,,
1998-04-11T05:00:00Z,1998-04-10T23:13:17Z,,,,,,,,,
1998-04-11T06:00:00Z,1998-04-11T00:13:32Z,,,,,,,,,
1998-04-11T07:00:00Z,1998-04-11T01:13:32Z,,,,,,,,,
1998-04-11T08:00:00Z,1998-04-11T02:13:32Z,,,,,,,,,
1998-04-11T09:00:00Z,1998-04-11T03:13:32Z,,,,,,,,,
