pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,measured,NA,USA_PJS_P04_AMB_Ped_Js_1,16.3,4.94,18.7,P04T3,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,102.6,NA,FALSE,NTG separately measured,Previous night zero flow,0.9,10,Lab made,HD,15,dominant,Pinus edulis,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Jmo_Js_10,51.9,4.82,60.2,P04T10,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,199.3,NA,FALSE,NTG separately measured,Previous night zero flow,1.5,10,Lab made,HD,15,dominant,Juniperus monosperma,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Ped_Js_2,25,6.25,42.6,P04T4,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,215.4,NA,FALSE,NTG separately measured,Previous night zero flow,1.3,10,Lab made,HD,15,dominant,Pinus edulis,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Ped_Js_3,23,3.14,36.3,P04T5,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,186.4,NA,FALSE,NTG separately measured,Previous night zero flow,1.35,10,Lab made,HD,15,dominant,Pinus edulis,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Ped_Js_4,18.3,5.52,23.4,P04T11,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,125.2,NA,FALSE,NTG separately measured,Previous night zero flow,0.8,10,Lab made,HD,15,dominant,Pinus edulis,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Ped_Js_5,13.3,4.36,12.7,P04T12,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,72.1,NA,FALSE,NTG separately measured,Previous night zero flow,0.65,10,Lab made,HD,15,dominant,Pinus edulis,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Jmo_Js_6,31,3.38,25.3,P04T6,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,97.4,NA,FALSE,NTG separately measured,Previous night zero flow,0.65,10,Lab made,HD,15,dominant,Juniperus monosperma,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Jmo_Js_7,31.1,4.39,25.4,P04T7,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,97.8,NA,FALSE,NTG separately measured,Previous night zero flow,1.05,10,Lab made,HD,15,dominant,Juniperus monosperma,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Jmo_Js_8,32.3,3.11,27.1,P04T8,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,103.1,NA,FALSE,NTG separately measured,Previous night zero flow,0.5,10,Lab made,HD,15,dominant,Juniperus monosperma,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
NA,measured,NA,USA_PJS_P04_AMB_Jmo_Js_9,17,3.26,9.2,P04T9,No radial correction,"A) Age unknown for Plot 4 trees, but many trees are at least 80+ years old based on coring of P4T3, which had a ground level pith date of 1930 CE, B) sapwood depth was not measured, but sensors were not installed in locations where heart wood was encountered during the installation process (sensors were installed at a depth of 0-10mm sapwood depth), C) tree leaf area and sapwood area were predicted using site specific allometric equations (see Pangle et al. 2015, Supplemental Note S2) and measurements of diameter (pl-dbh) at 30cm above ground level, D)  tree diameter (i.e., pl_dbh) was measured at 30cm above the root collar for both species, and for trees with multiple stems at ground level (mainly JUMO) - an equivalent stem diameter at 30cm height was calculated, E) For trees with multiple stems, sapflow was measured on differing stems or large branches of the same tree, F) the radial pattern of sapflow Js was assessed for a subset of trees and no significant decline in Js with sapwood depth was noted for either species, hence only Js rates from 0-10mm are reported (See Pangle et al. 2015, Supplemental Figure S2).",cm3 cm-2 h-1,42.2,NA,FALSE,NTG separately measured,Previous night zero flow,0.55,10,Lab made,HD,15,dominant,Juniperus monosperma,Ambient Control,USA_PJS_P04_AMB,g m-2 s-1
