TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,sw_in,ext_rad
2011-01-01T05:00:00Z,2010-12-31T23:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T05:30:00Z,2011-01-01T00:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T06:00:00Z,2011-01-01T00:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T06:30:00Z,2011-01-01T01:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T07:00:00Z,2011-01-01T01:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T07:30:00Z,2011-01-01T02:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T08:00:00Z,2011-01-01T02:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T08:30:00Z,2011-01-01T03:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T09:00:00Z,2011-01-01T03:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T09:30:00Z,2011-01-01T04:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T10:00:00Z,2011-01-01T04:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T10:30:00Z,2011-01-01T05:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T11:00:00Z,2011-01-01T05:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T11:30:00Z,2011-01-01T06:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T12:00:00Z,2011-01-01T06:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T12:30:00Z,2011-01-01T07:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T13:00:00Z,2011-01-01T07:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T13:30:00Z,2011-01-01T08:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T14:00:00Z,2011-01-01T08:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T14:30:00Z,2011-01-01T09:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T15:00:00Z,2011-01-01T09:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T15:30:00Z,2011-01-01T10:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T16:00:00Z,2011-01-01T10:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T16:30:00Z,2011-01-01T11:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T17:00:00Z,2011-01-01T11:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T17:30:00Z,2011-01-01T12:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T18:00:00Z,2011-01-01T12:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T18:30:00Z,2011-01-01T13:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T19:00:00Z,2011-01-01T13:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T19:30:00Z,2011-01-01T14:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T20:00:00Z,2011-01-01T14:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T20:30:00Z,2011-01-01T15:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T21:00:00Z,2011-01-01T15:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T21:30:00Z,2011-01-01T16:27:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T22:00:00Z,2011-01-01T16:57:02Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-01T22:30:00Z,2011-01-01T17:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T23:00:00Z,2011-01-01T17:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-01T23:30:00Z,2011-01-01T18:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T00:00:00Z,2011-01-01T18:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T00:30:00Z,2011-01-01T19:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T01:00:00Z,2011-01-01T19:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T01:30:00Z,2011-01-01T20:27:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T02:00:00Z,2011-01-01T20:57:02Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T02:30:00Z,2011-01-01T21:27:02Z,,,,,,,,CALCULATED,CALCULATED
