pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qmo_Js_23,24.6,NA,NA,QUPR_347,No radial correction,"data for 2011 after mortality designated by 99999 in DBH column, sapwood depth calculated with published relationship (see Schafer et al 2014, 10.1002/hyp.10104) and sapwood area (see Renniger et al 2015, 10.3389/fpls.2015.00297). LAI is estimated via littertraps and then allocated to each tree according to sapwood area. Bark thickness did not have a relationship with diameter and assumed roughtly the same throughout . For pine see Carlo et al 2016, 10.1093/treephys/tpw044",cm3 cm-2 h-1,127.9993844029508,2.04672,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus montana,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qmo_Js_24,17,NA,NA,QUPR_277,No radial correction,"also see Schäfer et al 2002, where there was no difference found in azimuth, thus here also no correction applied",cm3 cm-2 h-1,57.139468031524096,1.4143999999999999,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus montana,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qmo_Js_25,17.2,NA,NA,QUPR_284,No radial correction,NA,cm3 cm-2 h-1,58.813240822730876,1.4310399999999999,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus montana,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qmo_Js_26,19.2,NA,NA,QUPR_291,No radial correction,NA,cm3 cm-2 h-1,76.83102981962934,1.59744,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus montana,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qmo_Js_27,15.3,NA,NA,QUPR_317,No radial correction,NA,cm3 cm-2 h-1,44.072658277923196,1.27296,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus montana,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qmo_Js_28,18.8,NA,NA,QUPR_285,No radial correction,NA,cm3 cm-2 h-1,73.06878407439406,1.56416,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus montana,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qmo_Js_29,33.3,NA,NA,QUPR_395,No radial correction,NA,cm3 cm-2 h-1,174.6785938699417,2.7705599999999997,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus montana,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qve_Js_33,27.2,NA,NA,QUVE_247,No radial correction,NA,cm3 cm-2 h-1,147.74820258976285,2.2630399999999997,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus velutina,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qve_Js_35,20,NA,NA,QUVE_382,No radial correction,NA,cm3 cm-2 h-1,84.51661382752953,1.664,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus velutina,NA,USA_SIL_OAK_POS,g m-2 s-1
NA,No azimuthal correction,6,USA_SIL_OAK_POS_Qco_Js_36,12.9,NA,NA,QUCO_242,No radial correction,NA,cm3 cm-2 h-1,29.42437328470568,1.07328,TRUE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,30,codominant,Quercus coccinea,NA,USA_SIL_OAK_POS,g m-2 s-1
