pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,1,USA_SMI_SCB_Fgr_Js_1,104.68,24.29,NA,30233,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,7130,8.8,FALSE,No correction,Long time-window zero flow,1.3,20,Lab made,HD,15,NA,Fagus grandifolia,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,1,USA_SMI_SCB_Fgr_Js_10,16.99,15.5,NA,40568,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,210,6.84,FALSE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,15,NA,Fagus grandifolia,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,1,USA_SMI_SCB_Fgr_Js_11,104.68,24.29,NA,30233,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,7130,8.8,FALSE,No correction,Long time-window zero flow,1.3,20,Lab made,HD,15,NA,Fagus grandifolia,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,1,USA_SMI_SCB_Fgr_Js_12,7.15,8.33,NA,30234,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,40,3.35,FALSE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,15,NA,Fagus grandifolia,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,1,USA_SMI_SCB_Fgr_Js_13,22.2,18.3,NA,30333,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,350.00000000000006,6.36,FALSE,No correction,Long time-window zero flow,1.3,20,Lab made,HD,15,NA,Fagus grandifolia,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,1,USA_SMI_SCB_Fgr_Js_14,22.2,18.3,NA,30333,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,350.00000000000006,6.36,FALSE,No correction,Long time-window zero flow,1.3,10,Lab made,HD,15,NA,Fagus grandifolia,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,19.4,USA_SMI_SCB_Ltu_Js_15,50.4,32.2,NA,30339,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,850.0000000000001,2.57,FALSE,No correction,Long time-window zero flow,1.3,20,Lab made,HD,15,NA,Liriodendron tulipifera,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,12.46,USA_SMI_SCB_Ltu_Js_16,17.82,20.48,NA,50650,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,100,1.39,FALSE,No correction,Long time-window zero flow,1.3,20,Lab made,HD,15,NA,Liriodendron tulipifera,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,1,USA_SMI_SCB_Fgr_Js_17,10.62,9.73,NA,60562,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,80,4.64,FALSE,No correction,Long time-window zero flow,1.3,20,Lab made,HD,15,NA,Fagus grandifolia,NA,USA_SMI_SCB,cm3 cm-2 h-1
NA,No azimuthal correction,1,USA_SMI_SCB_Fgr_Js_18,17.71,17.34,NA,60566,No radial correction,Sapwood depth estimated based on allometries developed at site USA_SMI_SCB,cm3 cm-2 h-1,230,7.08,FALSE,No correction,Long time-window zero flow,1.3,20,Lab made,HD,15,NA,Fagus grandifolia,NA,USA_SMI_SCB,cm3 cm-2 h-1
