pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_1,61.4,NA,NA,T1,No radial correction,NA,cm3 cm-2 h-1,NA,6.1,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_10,86.2,NA,NA,T10,No radial correction,NA,cm3 cm-2 h-1,NA,5.2,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_11,10.2,NA,NA,T11,No radial correction,NA,cm3 cm-2 h-1,NA,6,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_12,26.3,NA,NA,T12,No radial correction,NA,cm3 cm-2 h-1,NA,13.2,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_13,43.4,NA,NA,T13,No radial correction,NA,cm3 cm-2 h-1,NA,6.8,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_14,20,NA,NA,T14,No radial correction,NA,cm3 cm-2 h-1,NA,5.1,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_15,18.3,NA,NA,T15,No radial correction,NA,cm3 cm-2 h-1,NA,10.1,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_16,36.2,NA,NA,T16,No radial correction,NA,cm3 cm-2 h-1,NA,5.67,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_17,68.7,NA,NA,T17,No radial correction,NA,cm3 cm-2 h-1,NA,10.6,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_18,58.7,NA,NA,T18,No radial correction,NA,cm3 cm-2 h-1,NA,8.8,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_19,20.9,NA,NA,T19,No radial correction,NA,cm3 cm-2 h-1,NA,8.5,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_2,42.6,NA,NA,T2,No radial correction,NA,cm3 cm-2 h-1,NA,15.5,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_20,47.8,NA,NA,T20,No radial correction,NA,cm3 cm-2 h-1,NA,19.4,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_21,36.5,NA,NA,T21,No radial correction,NA,cm3 cm-2 h-1,NA,9,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_22,52.4,NA,NA,T22,No radial correction,NA,cm3 cm-2 h-1,NA,10.6,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_23,14,NA,NA,T23,No radial correction,NA,cm3 cm-2 h-1,NA,4.2,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_24,32,NA,NA,T24,No radial correction,NA,cm3 cm-2 h-1,NA,8.8,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_25,15.9,NA,NA,T25,No radial correction,NA,cm3 cm-2 h-1,NA,2.6,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_26,42.6,NA,NA,T26,No radial correction,NA,cm3 cm-2 h-1,NA,7.5,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_27,34.5,NA,NA,T27,No radial correction,NA,cm3 cm-2 h-1,NA,7,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_28,54,NA,NA,T28,No radial correction,NA,cm3 cm-2 h-1,NA,10.5,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_29,65,NA,NA,T29,No radial correction,NA,cm3 cm-2 h-1,NA,11.3,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_3,60.5,NA,NA,T3,No radial correction,NA,cm3 cm-2 h-1,NA,6.8,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_30,17.4,NA,NA,T30,No radial correction,NA,cm3 cm-2 h-1,NA,4.6,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_31,7.9,NA,NA,T31,No radial correction,NA,cm3 cm-2 h-1,NA,2.7,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_32,11.6,NA,NA,T32,No radial correction,NA,cm3 cm-2 h-1,NA,5.1,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_33,74.9,NA,NA,T33,No radial correction,NA,cm3 cm-2 h-1,NA,10.2,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Asa_Js_34,71.9,NA,NA,T34,No radial correction,NA,cm3 cm-2 h-1,NA,7.7,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Acer saccharum,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_35,53.2,NA,NA,T35,No radial correction,NA,cm3 cm-2 h-1,NA,5.5,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_36,18.8,NA,NA,T36,No radial correction,NA,cm3 cm-2 h-1,NA,9.6,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_37,49.7,NA,NA,T37,No radial correction,NA,cm3 cm-2 h-1,NA,2.5,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_38,27.5,NA,NA,T38,No radial correction,NA,cm3 cm-2 h-1,NA,3,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_39,31.6,NA,NA,T39,No radial correction,NA,cm3 cm-2 h-1,NA,7.3,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_4,15.5,NA,NA,T4,No radial correction,NA,cm3 cm-2 h-1,NA,6.8,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_40,52.2,NA,NA,T40,No radial correction,NA,cm3 cm-2 h-1,NA,4.1,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_41,69,NA,NA,T41,No radial correction,NA,cm3 cm-2 h-1,NA,7.8,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_42,20.5,NA,NA,T42,No radial correction,NA,cm3 cm-2 h-1,NA,10,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Tca_Js_43,11.5,NA,NA,T43,No radial correction,NA,cm3 cm-2 h-1,NA,5.2,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Tsuga canadensis,NA,USA_SYL_HL1,g m-2 s-1
NA,No azimuthal correction,NA,USA_SYL_HL1_Bal_Js_44,70.8,NA,NA,T44,No radial correction,NA,cm3 cm-2 h-1,NA,8,FALSE,No correction,Previous night zero flow,1.4,20,Lab made,HPTM,15,NA,Betula alleghaniensis,NA,USA_SYL_HL1,g m-2 s-1
