TIMESTAMP,TIMESTAMP_solar,USA_TNB_Aru_Js_1,USA_TNB_Aru_Js_2,USA_TNB_Aru_Js_3,USA_TNB_Aru_Js_4,USA_TNB_Qve_Js_5,USA_TNB_Qve_Js_6,USA_TNB_Qfa_Js_7,USA_TNB_Qco_Js_8
1998-05-28T12:00:00Z,1998-05-28T06:23:23Z,OUT_WARN,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-28T17:00:00Z,1998-05-28T11:23:23Z,OUT_WARN,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-28T18:00:00Z,1998-05-28T12:23:23Z,OUT_WARN,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-28T19:00:00Z,1998-05-28T13:23:23Z,OUT_WARN,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-28T20:00:00Z,1998-05-28T14:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-28T21:00:00Z,1998-05-28T15:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-28T22:00:00Z,1998-05-28T16:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-28T23:00:00Z,1998-05-28T17:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T00:00:00Z,1998-05-28T18:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T01:00:00Z,1998-05-28T19:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T02:00:00Z,1998-05-28T20:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T03:00:00Z,1998-05-28T21:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T04:00:00Z,1998-05-28T22:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T05:00:00Z,1998-05-28T23:23:23Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T06:00:00Z,1998-05-29T00:23:14Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T07:00:00Z,1998-05-29T01:23:14Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T08:00:00Z,1998-05-29T02:23:14Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T09:00:00Z,1998-05-29T03:23:14Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T10:00:00Z,1998-05-29T04:23:14Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T11:00:00Z,1998-05-29T05:23:14Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
1998-05-29T12:00:00Z,1998-05-29T06:23:14Z,,NA_PRESENT,NA_PRESENT,NA_PRESENT,,NA_PRESENT,,
