,Count
Dicorynia guianensis,1
Fraxinus pennsylvanica,1
Picea abies,5
Pinus sylvestris,15
Pinus strobus,3
Acacia tortilis,3
Picea glauca,1
Pinus halepensis,1
Acer rubrum,7
Eucalyptus tereticornis,1
Acer saccharum,1
Quercus robur,1
Betula alleghaniensis,1
Pinus nigra,3
Pouteria viridis,1
Nothofagus pumilio,1
Populus canescens,1
Hevea brasiliensis,2
Fagus sylvatica,8
Sloanea sp,1
Liquidambar styraciflua,4
Eucalyptus obliqua,1
Olea europaea,4
Quercus ilex,3
Agathis australis,1
Pinus taeda,4
Quercus montana,2
Elaeis guineensis,1
Pinus edulis,3
Malus domestica,2
Betula pubescens subsp. czerepanovii,1
Picea sitchensis,1
Quercus suber,1
Larix sibirica Ledeb.,1
Nothofagus antarctica,1
Larix decidua,6
Liriodendron tulipifera,1
