Site,Latitude (deg),Longitude,Biome,Functional Type,Species ,MAP (mm/yr),MAT (C) ,Average Wind Speed (m/s),Average Sap Flux
ARG_MAZ,-51.58,-72.29,Woodland/Shrubland,Deciduous,Nothofagus pumilio,471.58,4.03,7.26,2191
ARG_TRE,-51.32,-72.19,Woodland/Shrubland,Deciduous,Nothofagus antarctica,442.34,4.75,6.58,441
AUS_RIC_EUC_ELE,-33.62,150.74,Woodland/Shrubland,Evergreen,Eucalyptus tereticornis,898.62,17.6,2.56,1373
AUS_WOM,-37.42,144.09,Temperate forest,Evergreen,Mixed,1023.83,10.92,4.68,6870
CAN_TUR_P39_POS,42.71,-80.36,Temperate forest,Evergreen,Pinus strobus,1000.34,9,3.73,1276
CAN_TUR_P39_PRE,42.71,-80.36,Temperate forest,Evergreen,Pinus strobus,1000.34,9,3.73,746
CAN_TUR_P74,42.71,-80.35,Temperate forest,Evergreen,Pinus strobus,1002.62,9,3.73,162
CHE_DAV_SEE,46.82,9.86,Temperate forest,Evergreen,Picea abies,840.05,3.84,2.59,202
CRI_TAM_TOW,10.39,-84.63,Tropical rain forest,-,Mixed,3625.91,22.97,2.9,3033
CZE_BIK,49.49,18.53,Temperate forest,Evergreen,Picea abies,1144.4,6.18,3.76,547
CZE_KRT_KRT,49.32,16.75,Woodland/Shrubland,Evergreen,Picea abies,623.45,7.96,3.89,258
CZE_LAN,48.68,16.95,Woodland/Shrubland,Deciduous,Mixed,538.08,10.4,3.21,3488
CZE_LIZ_LES,49.07,13.68,Temperate forest,Evergreen,Picea abies,837.05,6.03,3.55,719
CZE_STI,49.04,17.97,Temperate forest,Deciduous,Fagus sylvatica,823.69,7.64,3.84,3899
CZE_UTE_BEE,49.28,16.65,Woodland/Shrubland,Deciduous,Fagus sylvatica,538.78,8.5,3.59,2158
CZE_UTE_BNA,49.28,16.65,Woodland/Shrubland,Deciduous,Fagus sylvatica,554.92,8.6,3.59,670
CZE_UTE_BPO,49.28,16.65,Woodland/Shrubland,Deciduous,Fagus sylvatica,558.36,8.61,3.59,1061
CZE_UTE_SPR,49.28,16.65,Woodland/Shrubland,Evergreen,Picea abies,566.33,8.65,3.59,469
DEU_STE_2P3,53.1,13,Woodland/Shrubland,Deciduous,Fagus sylvatica,594.6,8.9,3.79,2313
DEU_STE_4P5,53.1,13,Woodland/Shrubland,Deciduous,Fagus sylvatica,594.6,8.9,3.79,3095
ESP_ALT_ARM,40.78,-2.33,Woodland/Shrubland,Mixed,Mixed ,647.86,11.54,2.71,738
ESP_ALT_HUE,40.79,-2.29,Woodland/Shrubland,Mixed,Mixed ,520.64,12.25,2.73,1016
ESP_ALT_TRI,40.8,-2.23,Woodland/Shrubland,Evergreen,Mixed ,566.96,11.74,2.75,890
ESP_CAN,41.43,2.07,Woodland/Shrubland,Mixed,Mixed ,763.38,15.38,2.99,499
ESP_SAN_A2_45I,37.25,-5.8,Tropical forest savanna,Evergreen,Olea europaea,598.13,18.5,2.89,165
ESP_SAN_A_45I,37.25,-5.8,Tropical forest savanna,Evergreen,Olea europaea,598.13,18.5,2.89,115
ESP_SAN_B2_100,37.25,-5.8,Tropical forest savanna,Evergreen,Olea europaea,598.13,18.5,2.89,225
ESP_SAN_B_100,37.25,-5.8,Tropical forest savanna,Evergreen,Olea europaea,598.13,18.5,2.89,133
ESP_TIL_MIX,41.33,1.01,Woodland/Shrubland,Evergreen,Mixed,651.27,10.48,3.6,241
ESP_TIL_OAK,41.33,1.01,Woodland/Shrubland,Evergreen,Quercus ilex,651.3,10.5,3.6,101
ESP_TIL_PIN,41.33,1.01,Woodland/Shrubland,Evergreen,Pinus sylvestris,674.24,10.09,3.6,354
ESP_VAL_SOR,42.2,1.81,Woodland/Shrubland,Evergreen,Pinus sylvestris,622.9,8.5,4.65,405
FIN_PET,69.49,27.23,Woodland/Shrubland,Deciduous,Betula pubescens subsp. czerepanovii,415.5,-0.21,2.46,31
